,HPO_ID,hpo,node_id,node_name,HPO_LABEL,disease_id,ORPHA,DOID
240,HP:0002315,Headache,C0018681,Headache,Headache,ORPHA:2495,2495,3565
252,HP:0002315,Headache,D006261,Headache,Headache,ORPHA:2495,2495,3565
264,HP:0000238,Hydrocephalus,C0020255,Hydrocephalus,Hydrocephalus,ORPHA:2495,2495,3565
276,HP:0000238,Hydrocephalus,DOID:10908,hydrocephalus,Hydrocephalus,ORPHA:2495,2495,3565
288,HP:0010514,Hyperpituitarism,DOID:2444,hyperpituitarism,Hyperpituitarism,ORPHA:2495,2495,3565
300,HP:0001269,Hemiparesis,C0018989,Hemiparesis,Hemiparesis,ORPHA:2495,2495,3565
312,HP:0100242,Sarcoma,C1261473,Sarcoma,Sarcoma,ORPHA:2495,2495,3565
324,HP:0100242,Sarcoma,DOID:1115,sarcoma,Sarcoma,ORPHA:2495,2495,3565
336,HP:0100639,Erectile dysfunction,C0242350,Erectile dysfunction,Erectile dysfunction,ORPHA:2495,2495,3565
348,HP:0000141,Amenorrhea,DOID:13938,amenorrhea,Amenorrhea,ORPHA:2495,2495,3565
360,HP:0011458,Abdominal symptom,C0740651,Abdominal symptom,Abdominal symptom,ORPHA:2495,2495,3565
372,HP:0002664,Neoplasm,C0027651,Neoplasm,Neoplasm,ORPHA:2495,2495,3565
384,HP:0001251,Ataxia,C0004134,Ataxia,Ataxia,ORPHA:2495,2495,3565
396,HP:0001251,Ataxia,D001259,Ataxia,Ataxia,ORPHA:2495,2495,3565
408,HP:0001085,Papilledema,DOID:146,papilledema,Papilledema,ORPHA:2495,2495,3565
420,HP:0001085,Papilledema,C0030353,Papilloedema,Papilledema,ORPHA:2495,2495,3565
432,HP:0000135,Hypogonadism,C0020619,Hypogonadism,Hypogonadism,ORPHA:2495,2495,3565
444,HP:0000135,Hypogonadism,DOID:1924,hypogonadism,Hypogonadism,ORPHA:2495,2495,3565
456,HP:0000821,Hypothyroidism,C0020676,Hypothyroidism,Hypothyroidism,ORPHA:2495,2495,3565
468,HP:0000821,Hypothyroidism,DOID:1459,hypothyroidism,Hypothyroidism,ORPHA:2495,2495,3565
480,HP:0001513,Obesity,C0028754,Obesity,Obesity,ORPHA:2495,2495,3565
492,HP:0001513,Obesity,D009765,Obesity,Obesity,ORPHA:2495,2495,3565
504,HP:0001513,Obesity,DOID:9970,obesity,Obesity,ORPHA:2495,2495,3565
516,HP:0003418,Back pain,C0004604,Back pain,Back pain,ORPHA:2495,2495,3565
528,HP:0003418,Back pain,D001416,Back Pain,Back pain,ORPHA:2495,2495,3565
540,HP:0000802,Impotence,DOID:1875,impotence,Impotence,ORPHA:2495,2495,3565
552,HP:0000846,Adrenal insufficiency,C0001623,Adrenal insufficiency,Adrenal insufficiency,ORPHA:2495,2495,3565
564,HP:0001336,Myoclonus,C0027066,Myoclonus,Myoclonus,ORPHA:2495,2495,3565
576,HP:0001336,Myoclonus,D009207,Myoclonus,Myoclonus,ORPHA:2495,2495,3565
588,HP:0000360,Tinnitus,C0040264,Tinnitus,Tinnitus,ORPHA:2495,2495,3565
600,HP:0000360,Tinnitus,D014012,Tinnitus,Tinnitus,ORPHA:2495,2495,3565
612,HP:0010614,Fibroma,C0016045,Fibroma,Fibroma,ORPHA:2495,2495,3565
624,HP:0010614,Fibroma,DOID:0050871,fibroma,Fibroma,ORPHA:2495,2495,3565
636,HP:0000044,Hypogonadotropic hypogonadism,DOID:0090070,hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism,ORPHA:2495,2495,3565
648,HP:0002360,Sleep disturbance,C0037317,Sleep disturbance,Sleep disturbance,ORPHA:2495,2495,3565
660,HP:0040307,Male sexual dysfunction,C1112443,Male sexual dysfunction,Male sexual dysfunction,ORPHA:2495,2495,3565
672,HP:0040307,Male sexual dysfunction,C1112442,Female sexual dysfunction,Male sexual dysfunction,ORPHA:2495,2495,3565
684,HP:0012377,Hemianopia,C0018979,Hemianopia,Hemianopia,ORPHA:2495,2495,3565
696,HP:0000020,Urinary incontinence,C0042024,Urinary incontinence,Urinary incontinence,ORPHA:2495,2495,3565
708,HP:0000020,Urinary incontinence,D014549,Urinary Incontinence,Urinary incontinence,ORPHA:2495,2495,3565
720,HP:0006824,Cranial nerve paralysis,C0151311,Cranial nerve paralysis,Cranial nerve paralysis,ORPHA:2495,2495,3565
732,HP:0010828,Hemifacial spasm,D019569,Hemifacial Spasm,Hemifacial spasm,ORPHA:2495,2495,3565
744,HP:0002858,Meningioma,C0025286,Meningioma,Meningioma,ORPHA:2495,2495,3565
756,HP:0002858,Meningioma,DOID:3565,meningioma,Meningioma,ORPHA:2495,2495,3565
768,HP:0004409,Hyposmia,C2364082,Hyposmia,Hyposmia,ORPHA:478,478,3614
790,HP:0001260,Dysarthria,C0013362,Dysarthria,Dysarthria,ORPHA:478,478,3614
812,HP:0001260,Dysarthria,D004401,Dysarthria,Dysarthria,ORPHA:478,478,3614
834,HP:0000505,Visual impairment,C3665347,Visual impairment,Visual impairment,ORPHA:478,478,3614
856,HP:0040075,Hypopituitarism,C0020635,Hypopituitarism,Hypopituitarism,ORPHA:478,478,3614
878,HP:0040075,Hypopituitarism,DOID:9406,hypopituitarism,Hypopituitarism,ORPHA:478,478,3614
900,HP:0001252,Hypotonia,C0026827,Hypotonia,Hypotonia,ORPHA:478,478,3614
922,HP:0001288,Gait disturbance,C0575081,Gait disturbance,Gait disturbance,ORPHA:478,478,3614
944,HP:0001324,Muscle weakness,D018908,Muscle Weakness,Muscle weakness,ORPHA:478,478,3614
966,HP:0000175,Cleft palate,C0008925,Cleft palate,Cleft palate,ORPHA:478,478,3614
988,HP:0000175,Cleft palate,DOID:674,cleft palate,Cleft palate,ORPHA:478,478,3614
1010,HP:0000823,Delayed puberty,C0034012,Delayed puberty,Delayed puberty,ORPHA:478,478,3614
1032,HP:0100639,Erectile dysfunction,C0242350,Erectile dysfunction,Erectile dysfunction,ORPHA:478,478,3614
1054,HP:0009804,Tooth agenesis,DOID:0050591,tooth agenesis,Tooth agenesis,ORPHA:478,478,3614
1076,HP:0000141,Amenorrhea,DOID:13938,amenorrhea,Amenorrhea,ORPHA:478,478,3614
1098,HP:0000639,Nystagmus,C0028738,Nystagmus,Nystagmus,ORPHA:478,478,3614
1120,HP:0000771,Gynecomastia,DOID:12698,gynecomastia,Gynecomastia,ORPHA:478,478,3614
1142,HP:0000771,Gynecomastia,C0018418,Gynaecomastia,Gynecomastia,ORPHA:478,478,3614
1164,HP:0000508,Ptosis,DOID:0060260,ptosis,Ptosis,ORPHA:478,478,3614
1186,HP:0001251,Ataxia,C0004134,Ataxia,Ataxia,ORPHA:478,478,3614
1208,HP:0001251,Ataxia,D001259,Ataxia,Ataxia,ORPHA:478,478,3614
1230,HP:0000135,Hypogonadism,C0020619,Hypogonadism,Hypogonadism,ORPHA:478,478,3614
1252,HP:0000135,Hypogonadism,DOID:1924,hypogonadism,Hypogonadism,ORPHA:478,478,3614
1274,HP:0001513,Obesity,C0028754,Obesity,Obesity,ORPHA:478,478,3614
1296,HP:0001513,Obesity,D009765,Obesity,Obesity,ORPHA:478,478,3614
1318,HP:0001513,Obesity,DOID:9970,obesity,Obesity,ORPHA:478,478,3614
1340,HP:0000551,Color vision defect,D003117,Color Vision Defects,Color vision defect,ORPHA:478,478,3614
1362,HP:0000044,Hypogonadotropic hypogonadism,DOID:0090070,hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism,ORPHA:478,478,3614
1384,HP:0040307,Male sexual dysfunction,C1112443,Male sexual dysfunction,Male sexual dysfunction,ORPHA:478,478,3614
1406,HP:0040307,Male sexual dysfunction,C1112442,Female sexual dysfunction,Male sexual dysfunction,ORPHA:478,478,3614
1428,HP:0010550,Paraplegia,C0030486,Paraplegia,Paraplegia,ORPHA:478,478,3614
1450,HP:0010550,Paraplegia,D010264,Paraplegia,Paraplegia,ORPHA:478,478,3614
1472,HP:0010550,Paraplegia,DOID:607,paraplegia,Paraplegia,ORPHA:478,478,3614
1494,HP:0000104,Renal agenesis,C0542519,Renal agenesis,Renal agenesis,ORPHA:478,478,3614
1516,HP:0000104,Renal agenesis,DOID:14766,renal agenesis,Renal agenesis,ORPHA:478,478,3614
1538,HP:0008064,Ichthyosis,C0020757,Ichthyosis,Ichthyosis,ORPHA:478,478,3614
1560,HP:0008064,Ichthyosis,DOID:1697,ichthyosis,Ichthyosis,ORPHA:478,478,3614
1582,HP:0001337,Tremor,C0040822,Tremor,Tremor,ORPHA:478,478,3614
1604,HP:0001337,Tremor,D014202,Tremor,Tremor,ORPHA:478,478,3614
1626,HP:0000458,Anosmia,C0003126,Anosmia,Anosmia,ORPHA:478,478,3614
1648,HP:0000028,Cryptorchidism,DOID:11383,cryptorchidism,Cryptorchidism,ORPHA:478,478,3614
1670,HP:0004409,Hyposmia,C2364082,Hyposmia,Hyposmia,ORPHA:2162,2162,4621
1686,HP:0000819,Diabetes mellitus,C0011849,Diabetes mellitus,Diabetes mellitus,ORPHA:2162,2162,4621
1702,HP:0000819,Diabetes mellitus,DOID:9351,diabetes mellitus,Diabetes mellitus,ORPHA:2162,2162,4621
1718,HP:0000873,Diabetes insipidus,C0011848,Diabetes insipidus,Diabetes insipidus,ORPHA:2162,2162,4621
1734,HP:0000873,Diabetes insipidus,DOID:9409,diabetes insipidus,Diabetes insipidus,ORPHA:2162,2162,4621
1750,HP:0000093,Proteinuria,C0033687,Proteinuria,Proteinuria,ORPHA:2162,2162,4621
1766,HP:0000093,Proteinuria,D011507,Proteinuria,Proteinuria,ORPHA:2162,2162,4621
1782,HP:0000093,Proteinuria,DOID:576,proteinuria,Proteinuria,ORPHA:2162,2162,4621
1798,HP:0002650,Scoliosis,C0036439,Scoliosis,Scoliosis,ORPHA:2162,2162,4621
1814,HP:0002650,Scoliosis,DOID:0060249,scoliosis,Scoliosis,ORPHA:2162,2162,4621
1830,HP:0010442,Polydactyly,C0152427,Polydactyly,Polydactyly,ORPHA:2162,2162,4621
1846,HP:0010442,Polydactyly,DOID:1148,polydactyly,Polydactyly,ORPHA:2162,2162,4621
1862,HP:0000581,Blepharophimosis,DOID:10348,blepharophimosis,Blepharophimosis,ORPHA:2162,2162,4621
1878,HP:0100543,Cognitive impairment,C0338656,Cognitive impairment,Cognitive impairment,ORPHA:2162,2162,4621
1894,HP:0040075,Hypopituitarism,C0020635,Hypopituitarism,Hypopituitarism,ORPHA:2162,2162,4621
1910,HP:0040075,Hypopituitarism,DOID:9406,hypopituitarism,Hypopituitarism,ORPHA:2162,2162,4621
1926,HP:0001252,Hypotonia,C0026827,Hypotonia,Hypotonia,ORPHA:2162,2162,4621
1942,HP:0001276,Hypertonia,C0026826,Hypertonia,Hypertonia,ORPHA:2162,2162,4621
1958,HP:0001636,Tetralogy of Fallot,DOID:6419,tetralogy of Fallot,Tetralogy of Fallot,ORPHA:2162,2162,4621
1974,HP:0001324,Muscle weakness,D018908,Muscle Weakness,Muscle weakness,ORPHA:2162,2162,4621
1990,HP:0000871,Panhypopituitarism,DOID:9410,panhypopituitarism,Panhypopituitarism,ORPHA:2162,2162,4621
2006,HP:0000175,Cleft palate,C0008925,Cleft palate,Cleft palate,ORPHA:2162,2162,4621
2022,HP:0000175,Cleft palate,DOID:674,cleft palate,Cleft palate,ORPHA:2162,2162,4621
2038,HP:0001360,Holoprosencephaly,DOID:4621,holoprosencephaly,Holoprosencephaly,ORPHA:2162,2162,4621
2054,HP:0000238,Hydrocephalus,C0020255,Hydrocephalus,Hydrocephalus,ORPHA:2162,2162,4621
2070,HP:0000238,Hydrocephalus,DOID:10908,hydrocephalus,Hydrocephalus,ORPHA:2162,2162,4621
2086,HP:0001156,Brachydactyly,DOID:0050581,brachydactyly,Brachydactyly,ORPHA:2162,2162,4621
2102,HP:0001629,Ventricular septal defect,C0018818,Ventricular septal defect,Ventricular septal defect,ORPHA:2162,2162,4621
2118,HP:0001629,Ventricular septal defect,DOID:1657,ventricular septal defect,Ventricular septal defect,ORPHA:2162,2162,4621
2134,HP:0045005,Neural tube defect,C0027794,Neural tube defect,Neural tube defect,ORPHA:2162,2162,4621
2150,HP:0045005,Neural tube defect,DOID:0080074,neural tube defect,Neural tube defect,ORPHA:2162,2162,4621
2166,HP:0001508,Failure to thrive,C0015544,Failure to thrive,Failure to thrive,ORPHA:2162,2162,4621
2182,HP:0001508,Failure to thrive,D005183,Failure to Thrive,Failure to thrive,ORPHA:2162,2162,4621
2198,HP:0000998,Hypertrichosis,C0020555,Hypertrichosis,Hypertrichosis,ORPHA:2162,2162,4621
2214,HP:0000998,Hypertrichosis,DOID:420,hypertrichosis,Hypertrichosis,ORPHA:2162,2162,4621
2230,HP:0410030,Cleft lip,C0008924,Cleft lip,Cleft lip,ORPHA:2162,2162,4621
2246,HP:0410030,Cleft lip,DOID:9296,cleft lip,Cleft lip,ORPHA:2162,2162,4621
2262,HP:0009804,Tooth agenesis,DOID:0050591,tooth agenesis,Tooth agenesis,ORPHA:2162,2162,4621
2278,HP:0002072,Chorea,C0008489,Chorea,Chorea,ORPHA:2162,2162,4621
2294,HP:0002072,Chorea,D002819,Chorea,Chorea,ORPHA:2162,2162,4621
2310,HP:0001321,Cerebellar hypoplasia,DOID:0070338,cerebellar hypoplasia,Cerebellar hypoplasia,ORPHA:2162,2162,4621
2326,HP:0011458,Abdominal symptom,C0740651,Abdominal symptom,Abdominal symptom,ORPHA:2162,2162,4621
2342,HP:0001332,Dystonia,C0393593,Dystonia,Dystonia,ORPHA:2162,2162,4621
2358,HP:0001332,Dystonia,D004421,Dystonia,Dystonia,ORPHA:2162,2162,4621
2374,HP:0001332,Dystonia,DOID:543,dystonia,Dystonia,ORPHA:2162,2162,4621
2390,HP:0100790,Hernia,C0019270,Hernia,Hernia,ORPHA:2162,2162,4621
2406,HP:0002664,Neoplasm,C0027651,Neoplasm,Neoplasm,ORPHA:2162,2162,4621
2422,HP:0000508,Ptosis,DOID:0060260,ptosis,Ptosis,ORPHA:2162,2162,4621
2438,HP:0002902,Hyponatremia,C0020625,Hyponatraemia,Hyponatremia,ORPHA:2162,2162,4621
2454,HP:0001883,Talipes,C1301937,Talipes,Talipes,ORPHA:2162,2162,4621
2470,HP:0000648,Optic atrophy,C0029124,Optic atrophy,Optic atrophy,ORPHA:2162,2162,4621
2486,HP:0000648,Optic atrophy,DOID:5723,optic atrophy,Optic atrophy,ORPHA:2162,2162,4621
2502,HP:0011100,Intestinal atresia,DOID:10486,intestinal atresia,Intestinal atresia,ORPHA:2162,2162,4621
2518,HP:0002084,Encephalocele,C0014065,Encephalocele,Encephalocele,ORPHA:2162,2162,4621
2534,HP:0000589,Coloboma,DOID:12270,coloboma,Coloboma,ORPHA:2162,2162,4621
2550,HP:0001943,Hypoglycemia,DOID:9993,hypoglycemia,Hypoglycemia,ORPHA:2162,2162,4621
2566,HP:0001943,Hypoglycemia,C0020615,Hypoglycaemia,Hypoglycemia,ORPHA:2162,2162,4621
2582,HP:0002093,Respiratory insufficiency,C0035229,Respiratory insufficiency,Respiratory insufficiency,ORPHA:2162,2162,4621
2598,HP:0011675,Arrhythmia,C0003811,Arrhythmia,Arrhythmia,ORPHA:2162,2162,4621
2614,HP:0000453,Choanal atresia,DOID:9574,choanal atresia,Choanal atresia,ORPHA:2162,2162,4621
2630,HP:0000568,Microphthalmia,DOID:10629,microphthalmia,Microphthalmia,ORPHA:2162,2162,4621
2646,HP:0001952,Glucose intolerance,DOID:10603,glucose intolerance,Glucose intolerance,ORPHA:2162,2162,4621
2662,HP:0006315,Solitary median maxillary central incisor,DOID:0111380,solitary median maxillary central incisor,Solitary median maxillary central incisor,ORPHA:2162,2162,4621
2678,HP:0001539,Omphalocele,C0795690,Omphalocele,Omphalocele,ORPHA:2162,2162,4621
2694,HP:0001539,Omphalocele,DOID:0060327,omphalocele,Omphalocele,ORPHA:2162,2162,4621
2710,HP:0000458,Anosmia,C0003126,Anosmia,Anosmia,ORPHA:2162,2162,4621
2726,HP:0000028,Cryptorchidism,DOID:11383,cryptorchidism,Cryptorchidism,ORPHA:2162,2162,4621
2742,HP:0000776,Congenital diaphragmatic hernia,C0235833,Congenital diaphragmatic hernia,Congenital diaphragmatic hernia,ORPHA:2162,2162,4621
2758,HP:0000776,Congenital diaphragmatic hernia,DOID:3827,congenital diaphragmatic hernia,Congenital diaphragmatic hernia,ORPHA:2162,2162,4621
2774,HP:0002019,Constipation,C0009806,Constipation,Constipation,ORPHA:2162,2162,4621
2790,HP:0002019,Constipation,D003248,Constipation,Constipation,ORPHA:2162,2162,4621
2806,HP:0002019,Constipation,DOID:2089,constipation,Constipation,ORPHA:2162,2162,4621
2822,HP:0000252,Microcephaly,C0025958,Microcephaly,Microcephaly,ORPHA:2162,2162,4621
2838,HP:0000252,Microcephaly,DOID:10907,microcephaly,Microcephaly,ORPHA:2162,2162,4621
2854,HP:0001386,Joint swelling,C0152031,Joint swelling,Joint swelling,ORPHA:139491,139491,0111028
2856,HP:0002829,Arthralgia,C0003862,Arthralgia,Arthralgia,ORPHA:139491,139491,0111028
2858,HP:0002829,Arthralgia,D018771,Arthralgia,Arthralgia,ORPHA:139491,139491,0111028
2860,HP:0012531,Pain,C0030193,Pain,Pain,ORPHA:139491,139491,0111028
2862,HP:0012531,Pain,D010146,Pain,Pain,ORPHA:139491,139491,0111028
2864,HP:0011458,Abdominal symptom,C0740651,Abdominal symptom,Abdominal symptom,ORPHA:139491,139491,0111028
2866,HP:0001395,Hepatic fibrosis,C0239946,Hepatic fibrosis,Hepatic fibrosis,ORPHA:139491,139491,0111028
2868,HP:0001397,Hepatic steatosis,C2711227,Hepatic steatosis,Hepatic steatosis,ORPHA:139491,139491,0111028
2870,HP:0002027,Abdominal pain,C0000737,Abdominal pain,Abdominal pain,ORPHA:139491,139491,0111028
2872,HP:0002027,Abdominal pain,D015746,Abdominal Pain,Abdominal pain,ORPHA:139491,139491,0111028
2874,HP:0001373,Joint dislocation,C0012691,Joint dislocation,Joint dislocation,ORPHA:139491,139491,0111028
2876,HP:0000969,Edema,D004487,Edema,Edema,ORPHA:139491,139491,0111028
2878,HP:0001386,Joint swelling,C0152031,Joint swelling,Joint swelling,ORPHA:93284,93284,0112284
2879,HP:0002829,Arthralgia,C0003862,Arthralgia,Arthralgia,ORPHA:93284,93284,0112284
2880,HP:0002829,Arthralgia,D018771,Arthralgia,Arthralgia,ORPHA:93284,93284,0112284
2881,HP:0002650,Scoliosis,C0036439,Scoliosis,Scoliosis,ORPHA:93284,93284,0112284
2882,HP:0002650,Scoliosis,DOID:0060249,scoliosis,Scoliosis,ORPHA:93284,93284,0112284
2883,HP:0012531,Pain,C0030193,Pain,Pain,ORPHA:93284,93284,0112284
2884,HP:0012531,Pain,D010146,Pain,Pain,ORPHA:93284,93284,0112284
2885,HP:0002654,Multiple epiphyseal dysplasia,DOID:12721,multiple epiphyseal dysplasia,Multiple epiphyseal dysplasia,ORPHA:93284,93284,0112284
2886,HP:0002654,Multiple epiphyseal dysplasia,DOID:0070302,multiple epiphyseal dysplasia 7,Multiple epiphyseal dysplasia,ORPHA:93284,93284,0112284
2887,HP:0002654,Multiple epiphyseal dysplasia,DOID:0070304,multiple epiphyseal dysplasia 3,Multiple epiphyseal dysplasia,ORPHA:93284,93284,0112284
2888,HP:0002654,Multiple epiphyseal dysplasia,DOID:0070303,multiple epiphyseal dysplasia 1,Multiple epiphyseal dysplasia,ORPHA:93284,93284,0112284
2889,HP:0002654,Multiple epiphyseal dysplasia,DOID:0070300,multiple epiphyseal dysplasia 4,Multiple epiphyseal dysplasia,ORPHA:93284,93284,0112284
2890,HP:0002654,Multiple epiphyseal dysplasia,DOID:0070301,multiple epiphyseal dysplasia 6,Multiple epiphyseal dysplasia,ORPHA:93284,93284,0112284
2891,HP:0002654,Multiple epiphyseal dysplasia,DOID:0070298,multiple epiphyseal dysplasia 2,Multiple epiphyseal dysplasia,ORPHA:93284,93284,0112284
2892,HP:0002654,Multiple epiphyseal dysplasia,DOID:0070299,multiple epiphyseal dysplasia 5,Multiple epiphyseal dysplasia,ORPHA:93284,93284,0112284
2893,HP:0001369,Arthritis,C0003864,Arthritis,Arthritis,ORPHA:93284,93284,0112284
2894,HP:0001369,Arthritis,DOID:848,arthritis,Arthritis,ORPHA:93284,93284,0112284
2895,HP:0001508,Failure to thrive,C0015544,Failure to thrive,Failure to thrive,ORPHA:93284,93284,0112284
2896,HP:0001508,Failure to thrive,D005183,Failure to Thrive,Failure to thrive,ORPHA:93284,93284,0112284
2897,HP:0030839,Knee pain,C0231749,Knee pain,Knee pain,ORPHA:93284,93284,0112284
2898,HP:0001387,Joint stiffness,C0162298,Joint stiffness,Joint stiffness,ORPHA:93284,93284,0112284
2899,HP:0003418,Back pain,C0004604,Back pain,Back pain,ORPHA:93284,93284,0112284
2900,HP:0003418,Back pain,D001416,Back Pain,Back pain,ORPHA:93284,93284,0112284
2901,HP:0002758,Osteoarthritis,C0029408,Osteoarthritis,Osteoarthritis,ORPHA:93284,93284,0112284
2902,HP:0002758,Osteoarthritis,DOID:8398,osteoarthritis,Osteoarthritis,ORPHA:93284,93284,0112284
2903,HP:0002808,Kyphosis,C0022821,Kyphosis,Kyphosis,ORPHA:93284,93284,0112284
2904,HP:0003401,Paresthesia,D010292,Paresthesia,Paresthesia,ORPHA:93284,93284,0112284
2905,HP:0003401,Paresthesia,C0030554,Paraesthesia,Paresthesia,ORPHA:93284,93284,0112284
2906,HP:0000939,Osteoporosis,C0029456,Osteoporosis,Osteoporosis,ORPHA:93284,93284,0112284
2907,HP:0000939,Osteoporosis,DOID:11476,osteoporosis,Osteoporosis,ORPHA:93284,93284,0112284
2908,HP:0000969,Edema,D004487,Edema,Edema,ORPHA:93284,93284,0112284
2909,HP:0001386,Joint swelling,C0152031,Joint swelling,Joint swelling,ORPHA:90340,90340,0050678
2910,HP:0010783,Erythema,C0041834,Erythema,Erythema,ORPHA:90340,90340,0050678
2911,HP:0010783,Erythema,D004890,Erythema,Erythema,ORPHA:90340,90340,0050678
2912,HP:0000501,Glaucoma,C0017601,Glaucoma,Glaucoma,ORPHA:90340,90340,0050678
2913,HP:0000501,Glaucoma,DOID:1686,glaucoma,Glaucoma,ORPHA:90340,90340,0050678
2914,HP:0002829,Arthralgia,C0003862,Arthralgia,Arthralgia,ORPHA:90340,90340,0050678
2915,HP:0002829,Arthralgia,D018771,Arthralgia,Arthralgia,ORPHA:90340,90340,0050678
2916,HP:0000505,Visual impairment,C3665347,Visual impairment,Visual impairment,ORPHA:90340,90340,0050678
2917,HP:0002092,Pulmonary arterial hypertension,C2973725,Pulmonary arterial hypertension,Pulmonary arterial hypertension,ORPHA:90340,90340,0050678
2918,HP:0001945,Fever,D005334,Fever,Fever,ORPHA:90340,90340,0050678
2919,HP:0000822,Hypertension,C0020538,Hypertension,Hypertension,ORPHA:90340,90340,0050678
2920,HP:0000822,Hypertension,DOID:10763,hypertension,Hypertension,ORPHA:90340,90340,0050678
2921,HP:0012531,Pain,C0030193,Pain,Pain,ORPHA:90340,90340,0050678
2922,HP:0012531,Pain,D010146,Pain,Pain,ORPHA:90340,90340,0050678
2923,HP:0001701,Pericarditis,C0031046,Pericarditis,Pericarditis,ORPHA:90340,90340,0050678
2924,HP:0001701,Pericarditis,DOID:1787,pericarditis,Pericarditis,ORPHA:90340,90340,0050678
2925,HP:0001324,Muscle weakness,D018908,Muscle Weakness,Muscle weakness,ORPHA:90340,90340,0050678
2926,HP:0000491,Keratitis,C0022568,Keratitis,Keratitis,ORPHA:90340,90340,0050678
2927,HP:0000491,Keratitis,DOID:4677,keratitis,Keratitis,ORPHA:90340,90340,0050678
2928,HP:0009726,Renal neoplasm,C0022665,Renal neoplasm,Renal neoplasm,ORPHA:90340,90340,0050678
2929,HP:0001094,Iridocyclitis,C0022073,Iridocyclitis,Iridocyclitis,ORPHA:90340,90340,0050678
2930,HP:0001094,Iridocyclitis,DOID:9383,iridocyclitis,Iridocyclitis,ORPHA:90340,90340,0050678
2931,HP:0000518,Cataract,C0086543,Cataract,Cataract,ORPHA:90340,90340,0050678
2932,HP:0000518,Cataract,DOID:83,cataract,Cataract,ORPHA:90340,90340,0050678
2933,HP:0012622,Chronic kidney disease,C1561643,Chronic kidney disease,Chronic kidney disease,ORPHA:90340,90340,0050678
2934,HP:0012622,Chronic kidney disease,DOID:784,chronic kidney disease,Chronic kidney disease,ORPHA:90340,90340,0050678
2935,HP:0000112,Nephropathy,C0022658,Nephropathy,Nephropathy,ORPHA:90340,90340,0050678
2936,HP:0100769,Synovitis,C0039103,Synovitis,Synovitis,ORPHA:90340,90340,0050678
2937,HP:0100769,Synovitis,DOID:2703,synovitis,Synovitis,ORPHA:90340,90340,0050678
2938,HP:0000613,Photophobia,C0085636,Photophobia,Photophobia,ORPHA:90340,90340,0050678
2939,HP:0000613,Photophobia,D020795,Photophobia,Photophobia,ORPHA:90340,90340,0050678
2940,HP:0200042,Skin ulcer,C0037299,Skin ulcer,Skin ulcer,ORPHA:90340,90340,0050678
2941,HP:0012219,Erythema nodosum,C0014743,Erythema nodosum,Erythema nodosum,ORPHA:90340,90340,0050678
2942,HP:0012219,Erythema nodosum,DOID:0080750,erythema nodosum,Erythema nodosum,ORPHA:90340,90340,0050678
2943,HP:0002716,Lymphadenopathy,C0497156,Lymphadenopathy,Lymphadenopathy,ORPHA:90340,90340,0050678
2944,HP:0002664,Neoplasm,C0027651,Neoplasm,Neoplasm,ORPHA:90340,90340,0050678
2945,HP:0002633,Vasculitis,C0042384,Vasculitis,Vasculitis,ORPHA:90340,90340,0050678
