HPO_ID,hpo,node_id,node_name,node_type,similarity
HP:0000819,Diabetes mellitus,C0011849,Diabetes mellitus,SideEffect,100
HP:0000819,Diabetes mellitus,DOID:9351,diabetes mellitus,Disease,100
HP:0000819,Diabetes mellitus,C0011854,Type 1 diabetes mellitus,SideEffect,95
HP:0000819,Diabetes mellitus,C0011860,Type 2 diabetes mellitus,SideEffect,95
HP:0000819,Diabetes mellitus,DOID:9744,type 1 diabetes mellitus,Disease,95
HP:0000819,Diabetes mellitus,DOID:9352,type 2 diabetes mellitus,Disease,95
HP:0000873,Diabetes insipidus,C0011848,Diabetes insipidus,SideEffect,100
HP:0000873,Diabetes insipidus,DOID:9409,diabetes insipidus,Disease,100
HP:0001289,Confusion,D003221,Confusion,Symptom,100
HP:0500093,Food allergy,C0016470,Food allergy,SideEffect,100
HP:0500093,Food allergy,DOID:3044,food allergy,Disease,100
HP:0007957,Corneal opacity,C0010038,Corneal opacity,SideEffect,100
HP:0002149,Hyperuricemia,DOID:1920,hyperuricemia,Disease,100
HP:0002149,Hyperuricemia,C0740394,Hyperuricaemia,SideEffect,96
HP:0006870,Lobar holoprosencephaly,DOID:4621,holoprosencephaly,Disease,95
HP:0020046,Accommodative esotropia,DOID:9839,accommodative esotropia,Disease,100
HP:0000716,Depression,C0011570,Depression,SideEffect,100
HP:0011505,Cystoid macular edema,DOID:4447,cystoid macular edema,Disease,100
HP:0011505,Cystoid macular edema,C0024440,Cystoid macular oedema,SideEffect,98
HP:0012547,Abnormal involuntary eye movements,C0392702,Abnormal involuntary movements,SideEffect,95
HP:0003075,Hypoproteinemia,C0020639,Hypoproteinaemia,SideEffect,97
HP:0002018,Nausea,C0027497,Nausea,SideEffect,100
HP:0002018,Nausea,D009325,Nausea,Symptom,100
HP:0002625,Deep venous thrombosis,C0042487,Venous thrombosis,SideEffect,95
HP:0002625,Deep venous thrombosis,C1321632,Venous thrombosis deep limb,SideEffect,95
HP:0500153,Hyperargininemia,DOID:9278,hyperargininemia,Disease,100
HP:0002354,Memory impairment,C0233794,Memory impairment,SideEffect,100
HP:0002059,Cerebral atrophy,C0235946,Cerebral atrophy,SideEffect,100
HP:0100598,Pulmonary edema,DOID:11396,pulmonary edema,Disease,100
HP:0100598,Pulmonary edema,C0034063,Pulmonary oedema,SideEffect,97
HP:0031245,Productive cough,C0239134,Productive cough,SideEffect,100
HP:0006774,Ovarian papillary adenocarcinoma,DOID:3112,papillary adenocarcinoma,Disease,95
HP:0033505,Livedo reticularis,C0085642,Livedo reticularis,SideEffect,100
HP:0033505,Livedo reticularis,D054068,Livedo Reticularis,Symptom,100
HP:0001342,Cerebral hemorrhage,C2937358,Cerebral haemorrhage,SideEffect,97
HP:0000789,Infertility,C0021359,Infertility,SideEffect,100
HP:0000789,Infertility,DOID:5223,infertility,Disease,100
HP:0000789,Infertility,C0021364,Infertility male,SideEffect,95
HP:0000789,Infertility,DOID:12336,male infertility,Disease,95
HP:0002357,Dysphasia,C0973461,Dysphasia,SideEffect,100
HP:0001647,Bicuspid aortic valve,DOID:0080332,bicuspid aortic valve disease,Disease,95
HP:0012118,Laryngeal carcinoma,DOID:2600,laryngeal carcinoma,Disease,100
HP:0001144,Orbital cyst,DOID:14233,orbital cyst,Disease,100
HP:0000509,Conjunctivitis,C0009763,Conjunctivitis,SideEffect,100
HP:0000509,Conjunctivitis,DOID:6195,conjunctivitis,Disease,100
HP:0000509,Conjunctivitis,C0029560,Other conjunctivitis,SideEffect,95
HP:0000509,Conjunctivitis,DOID:11184,acute conjunctivitis,Disease,95
HP:0001095,Hypertensive retinopathy,DOID:11561,hypertensive retinopathy,Disease,100
HP:0000389,Chronic otitis media,C0271441,Otitis media chronic,SideEffect,95
HP:0000389,Chronic otitis media,DOID:14247,chronic purulent otitis media,Disease,95
HP:0000767,Pectus excavatum,C0016842,Pectus excavatum,SideEffect,100
HP:0030148,Heart murmur,D006337,Heart Murmurs,Symptom,96
HP:0010783,Erythema,C0041834,Erythema,SideEffect,100
HP:0010783,Erythema,D004890,Erythema,Symptom,100
HP:0012721,Venous malformation,C2937220,Malformation venous,SideEffect,95
HP:0001562,Oligohydramnios,C0079924,Oligohydramnios,SideEffect,100
HP:0001562,Oligohydramnios,DOID:12215,oligohydramnios,Disease,100
HP:0000501,Glaucoma,C0017601,Glaucoma,SideEffect,100
HP:0000501,Glaucoma,DOID:1686,glaucoma,Disease,100
HP:0000832,Primary hypothyroidism,C0700502,Primary hypothyroidism,SideEffect,100
HP:0032278,2-hydroxyglutarate aciduria,DOID:0050573,2-hydroxyglutaric aciduria,Disease,91
HP:0002668,Paraganglioma,DOID:0050773,paraganglioma,Disease,100
HP:0010609,Skin tags,DOID:6873,skin tag,Disease,94
HP:0007431,Congenital ichthyosiform erythroderma,DOID:0060877,bullous congenital ichthyosiform erythroderma,Disease,95
HP:0001894,Thrombocytosis,C0836924,Thrombocytosis,SideEffect,100
HP:0001894,Thrombocytosis,DOID:2228,thrombocytosis,Disease,100
HP:0003127,Hypocalciuria,C0020599,Hypocalciuria,SideEffect,100
HP:0000738,Hallucinations,D006212,Hallucinations,Symptom,100
HP:0000738,Hallucinations,C0018524,Hallucination,SideEffect,96
HP:0002240,Hepatomegaly,C0019209,Hepatomegaly,SideEffect,100
HP:0100817,Renovascular hypertension,C0020545,Renovascular hypertension,SideEffect,100
HP:0100817,Renovascular hypertension,DOID:1591,renovascular hypertension,Disease,100
HP:0100817,Renovascular hypertension,DOID:13145,benign renovascular hypertension,Disease,95
HP:0100817,Renovascular hypertension,DOID:13730,malignant renovascular hypertension,Disease,95
HP:0011496,Corneal neovascularization,DOID:11382,corneal neovascularization,Disease,100
HP:0000579,Nasolacrimal duct obstruction,C0022906,Lacrimal duct obstruction,SideEffect,93
HP:0000579,Nasolacrimal duct obstruction,DOID:13929,lacrimal duct obstruction,Disease,93
HP:0045054,Brachial plexus neuropathy,DOID:3690,brachial plexus neuropathy,Disease,100
HP:0001937,Microangiopathic hemolytic anemia,C0221021,Microangiopathic haemolytic anaemia,SideEffect,97
HP:0002840,Lymphadenitis,C0024205,Lymphadenitis,SideEffect,100
HP:0002840,Lymphadenitis,DOID:1602,lymphadenitis,Disease,100
HP:0030829,Abnormal breath sound,C0231856,Breath sounds abnormal,SideEffect,93
HP:0002619,Varicose veins,DOID:799,varicose veins,Disease,100
HP:0002619,Varicose veins,C0042345,Varicose vein,SideEffect,96
HP:0000938,Osteopenia,C0029453,Osteopenia,SideEffect,100
HP:0000483,Astigmatism,DOID:11782,astigmatism,Disease,100
HP:0012635,Iris hypoperfusion,C0442856,Hypoperfusion,SideEffect,95
HP:0100006,Neoplasm of the central nervous system,C0085136,Central nervous system neoplasm,SideEffect,95
HP:0001265,Hyporeflexia,C0151888,Hyporeflexia,SideEffect,100
HP:0002666,Pheochromocytoma,DOID:0050771,pheochromocytoma,Disease,100
HP:0002173,Hypoglycemic seizures,C0877056,Hypoglycaemic seizure,SideEffect,95
HP:0002860,Squamous cell carcinoma,C0007137,Squamous cell carcinoma,SideEffect,100
HP:0002860,Squamous cell carcinoma,DOID:1749,squamous cell carcinoma,Disease,100
HP:0002860,Squamous cell carcinoma,C0149782,Squamous cell carcinoma of lung,SideEffect,95
HP:0002860,Squamous cell carcinoma,C0553723,Squamous cell carcinoma of skin,SideEffect,95
HP:0002860,Squamous cell carcinoma,DOID:5526,middle ear squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5524,adenoid squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:7031,glottis squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:2876,laryngeal squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5537,squamous cell bile duct carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:0050866,oral squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:0050896,bone squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:0050920,tonsil squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5528,rectum squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5525,anal squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5522,basaloid squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:2101,vulva squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:3742,bladder squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:3744,cervical squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:3748,esophagus squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:0050921,pharynx squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:3151,skin squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:10287,prostate squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:13159,scrotum squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5514,breast squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:13538,cornea squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:0080323,pancreatic squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:7585,subglottis squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5518,penis squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5519,colon squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5530,thymus squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5531,ovarian squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5539,ureter squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:7177,anal canal squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:3907,lung squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:5516,gastric squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:3750,urethra squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:12003,trachea squamous cell carcinoma,Disease,95
HP:0002860,Squamous cell carcinoma,DOID:0050865,tongue squamous cell carcinoma,Disease,95
HP:0001876,Pancytopenia,C0030312,Pancytopenia,SideEffect,100
HP:0001876,Pancytopenia,DOID:12450,pancytopenia,Disease,100
HP:0020074,Crystalluria,C0151579,Crystalluria,SideEffect,100
HP:0003131,Cystinuria,DOID:9266,cystinuria,Disease,100
HP:0010886,Osteochondritis Dissecans,DOID:84,osteochondritis dissecans,Disease,100
HP:0002362,Shuffling gait,C0231688,Gait shuffling,SideEffect,95
HP:0000953,Hyperpigmentation of the skin,C0162834,Skin hyperpigmentation,SideEffect,95
HP:0000093,Proteinuria,C0033687,Proteinuria,SideEffect,100
HP:0000093,Proteinuria,D011507,Proteinuria,Symptom,100
HP:0000093,Proteinuria,DOID:576,proteinuria,Disease,100
HP:0000071,Ureteral stenosis,C0041974,Urethral stenosis,SideEffect,94
HP:0032152,Keratosis pilaris,C0263383,Keratosis pilaris,SideEffect,100
HP:0002829,Arthralgia,C0003862,Arthralgia,SideEffect,100
HP:0002829,Arthralgia,D018771,Arthralgia,Symptom,100
HP:0002383,Encephalitis,C0014038,Encephalitis,SideEffect,100
HP:0002383,Encephalitis,DOID:9588,encephalitis,Disease,100
HP:0012213,Decreased glomerular filtration rate,C0853068,Glomerular filtration rate decreased,SideEffect,95
HP:0002863,Myelodysplasia,C0026985,Myelodysplasia,SideEffect,100
HP:0002310,Orofacial dyskinesia,C0152115,Orofacial dyskinesia,SideEffect,100
HP:0002036,Hiatus hernia,C3489393,Hiatus hernia,SideEffect,100
HP:0002036,Hiatus hernia,DOID:12642,hiatus hernia,Disease,100
HP:0007354,Amyotrophic lateral sclerosis,DOID:332,amyotrophic lateral sclerosis,Disease,100
HP:0007354,Amyotrophic lateral sclerosis,DOID:0080917,sporatic amyotrophic lateral sclerosis,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060208,amyotrophic lateral sclerosis type 17,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060209,amyotrophic lateral sclerosis type 18,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060202,amyotrophic lateral sclerosis type 11,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060203,amyotrophic lateral sclerosis type 12,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060200,amyotrophic lateral sclerosis type 9,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060201,amyotrophic lateral sclerosis type 10,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060206,amyotrophic lateral sclerosis type 15,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060207,amyotrophic lateral sclerosis type 16,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060204,amyotrophic lateral sclerosis type 13,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060205,amyotrophic lateral sclerosis type 14,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060198,amyotrophic lateral sclerosis type 6,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060196,amyotrophic lateral sclerosis type 4,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060197,amyotrophic lateral sclerosis type 5,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060195,amyotrophic lateral sclerosis type 3,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0050752,amyotrophic lateral sclerosis type 8,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060211,amyotrophic lateral sclerosis type 20,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060210,amyotrophic lateral sclerosis type 19,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060212,amyotrophic lateral sclerosis type 21,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0080225,amyotrophic lateral sclerosis type 23,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060355,amyotrophic lateral sclerosis type 22,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060199,amyotrophic lateral sclerosis type 7,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060194,amyotrophic lateral sclerosis type 2,Disease,95
HP:0007354,Amyotrophic lateral sclerosis,DOID:0060193,amyotrophic lateral sclerosis type 1,Disease,95
HP:0002650,Scoliosis,C0036439,Scoliosis,SideEffect,100
HP:0002650,Scoliosis,DOID:0060249,scoliosis,Disease,100
HP:0004947,Arteriovenous fistula,C0003855,Arteriovenous fistula,SideEffect,100
HP:0004757,Paroxysmal atrial fibrillation,C0235480,Paroxysmal atrial fibrillation,SideEffect,100
HP:0008181,Abetalipoproteinemia,DOID:1386,abetalipoproteinemia,Disease,100
HP:0031258,Delirium,C0011206,Delirium,SideEffect,100
HP:0031258,Delirium,D003693,Delirium,Symptom,100
HP:0007763,Retinal telangiectasia,DOID:7736,retinal telangiectasia,Disease,100
HP:0009733,Glioma,C0017638,Glioma,SideEffect,100
HP:0010442,Polydactyly,C0152427,Polydactyly,SideEffect,100
HP:0010442,Polydactyly,DOID:1148,polydactyly,Disease,100
HP:0009711,Retinal capillary hemangioma,DOID:2725,capillary hemangioma,Disease,95
HP:0100749,Chest pain,C0008031,Chest pain,SideEffect,100
HP:0100749,Chest pain,D002637,Chest Pain,Symptom,100
HP:0000805,Enuresis,C0014394,Enuresis,SideEffect,100
HP:0009370,Type A brachydactyly,DOID:0110968,brachydactyly type A6,Disease,93
HP:0009370,Type A brachydactyly,DOID:0110967,brachydactyly type A4,Disease,93
HP:0009370,Type A brachydactyly,DOID:0110966,brachydactyly type A3,Disease,93
HP:0009370,Type A brachydactyly,DOID:0110965,brachydactyly type A2,Disease,93
HP:0009370,Type A brachydactyly,DOID:0110964,brachydactyly type A1,Disease,93
HP:0000505,Visual impairment,C3665347,Visual impairment,SideEffect,100
HP:0012075,Personality disorder,C0031212,Personality disorder,SideEffect,100
HP:0012075,Personality disorder,DOID:1510,personality disorder,Disease,100
HP:0012075,Personality disorder,DOID:1509,avoidant personality disorder,Disease,95
HP:0012075,Personality disorder,DOID:10934,multiple personality disorder,Disease,95
HP:0012075,Personality disorder,DOID:10936,schizoid personality disorder,Disease,95
HP:0012075,Personality disorder,DOID:10938,paranoid personality disorder,Disease,95
HP:0002154,Hyperglycinemia,DOID:4195,hyperglycemia,Disease,93
HP:0001370,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,SideEffect,100
HP:0001370,Rheumatoid arthritis,DOID:7148,rheumatoid arthritis,Disease,100
HP:0001370,Rheumatoid arthritis,DOID:676,juvenile rheumatoid arthritis,Disease,95
HP:0033584,Nonspecific interstitial pneumonia,DOID:2801,nonspecific interstitial pneumonia,Disease,100
HP:0007707,Congenital aphakia,DOID:11367,congenital aphakia,Disease,100
HP:0002414,Spina bifida,C0080178,Spina bifida,SideEffect,100
HP:0002414,Spina bifida,DOID:0080016,spina bifida,Disease,100
HP:0001138,Optic neuropathy,DOID:13329,toxic optic neuropathy,Disease,95
HP:0009789,Perianal abscess,C0263111,Perineal abscess,SideEffect,94
HP:0000836,Hyperthyroidism,C0020550,Hyperthyroidism,SideEffect,100
HP:0000836,Hyperthyroidism,DOID:7998,hyperthyroidism,Disease,100
HP:0000557,Buphthalmos,DOID:11211,buphthalmos,Disease,100
HP:0002317,Unsteady gait,C0231686,Unsteady gait,SideEffect,100
HP:0001681,Angina pectoris,C0002962,Angina pectoris,SideEffect,100
HP:0001681,Angina pectoris,D000787,Angina Pectoris,Symptom,100
HP:0009756,Popliteal pterygium,DOID:0060055,popliteal pterygium syndrome,Disease,95
HP:0007537,Severe photosensitivity,C0349506,Photosensitivity,SideEffect,95
HP:0001723,Restrictive cardiomyopathy,C0007196,Restrictive cardiomyopathy,SideEffect,100
HP:0001723,Restrictive cardiomyopathy,DOID:397,restrictive cardiomyopathy,Disease,100
HP:0001723,Restrictive cardiomyopathy,DOID:0111425,restrictive cardiomyopathy 1,Disease,96
HP:0001723,Restrictive cardiomyopathy,DOID:0111427,restrictive cardiomyopathy 3,Disease,96
HP:0001723,Restrictive cardiomyopathy,DOID:0111426,restrictive cardiomyopathy 2,Disease,96
HP:0100658,Cellulitis,C0007642,Cellulitis,SideEffect,100
HP:0100658,Cellulitis,DOID:3488,cellulitis,Disease,100
HP:0025247,Dermoid cyst,C0011649,Dermoid cyst,SideEffect,100
HP:0025247,Dermoid cyst,DOID:2658,dermoid cyst,Disease,100
HP:0006755,Cutaneous leiomyosarcoma,DOID:5273,cutaneous leiomyosarcoma,Disease,100
HP:0002578,Gastroparesis,DOID:11914,gastroparesis,Disease,100
HP:0002578,Gastroparesis,D018589,Gastroparesis,Symptom,100
HP:0000967,Petechiae,C0031256,Petechiae,SideEffect,100
HP:0000581,Blepharophimosis,DOID:10348,blepharophimosis,Disease,100
HP:0004789,Lactose intolerance,C0022951,Lactose intolerance,SideEffect,100
HP:0004789,Lactose intolerance,DOID:10604,lactose intolerance,Disease,100
HP:0004737,Global glomerulosclerosis,DOID:0050851,glomerulosclerosis,Disease,95
HP:0002092,Pulmonary arterial hypertension,C2973725,Pulmonary arterial hypertension,SideEffect,100
HP:0002092,Pulmonary arterial hypertension,C0020542,Pulmonary hypertension,SideEffect,95
HP:0002092,Pulmonary arterial hypertension,DOID:6432,pulmonary hypertension,Disease,95
HP:0006557,Polycystic liver disease,DOID:0050770,polycystic liver disease,Disease,100
HP:0002524,Cataplexy,C0007384,Cataplexy,SideEffect,100
HP:0003138,Increased blood urea nitrogen,C0151539,Blood urea increased,SideEffect,95
