,HPO_LABEL,OMIM,HPO,DOID_MAP,EDGES_TO_DOID
120,Supravalvular aortic stenosis,194050,0004381,1929,1928
122,Attention deficit hyperactivity disorder,194050,0007018,1094,1928
124,Tooth agenesis,194050,0009804,0050591,1928
126,Bladder diverticulum,225400,0000015,11353,0080734
127,Inguinal hernia,225400,0000023,0060320,0080734
128,Glaucoma,225400,0000501,1686,0080734
129,Retinal detachment,225400,0000541,5327,0080734
130,Myopia,225400,0000545,11830,0080734
131,Keratoconus,225400,0000563,10126,0080734
132,Blindness,225400,0000618,1432,0080734
133,Osteoporosis,225400,0000939,11476,0080734
134,Cutis laxa,225400,0000973,3144,0080734
135,Congestive heart failure,225400,0001635,6000,0080734
136,Pneumonia,225400,0002090,552,0080734
137,Scoliosis,225400,0002650,0060249,0080734
138,Bladder diverticulum,304150,0000015,11353,0111272
139,Hydronephrosis,304150,0000126,11111,0111272
140,Osteoporosis,304150,0000939,11476,0111272
141,Cutis laxa,304150,0000973,3144,0111272
142,Diarrhea,304150,0002014,13250,0111272
143,Hiatus hernia,304150,0002036,12642,0111272
144,Bladder carcinoma,304150,0002862,4007,0111272
145,Ureteral obstruction,304150,0006000,5199,0111272
146,Bladder diverticulum,614557,0000015,11353,0080735
147,Inguinal hernia,614557,0000023,0060320,0080735
148,Cleft palate,614557,0000175,674,0080735
149,Cleft soft palate,614557,0000185,0110214,0080735
150,Myopia,614557,0000545,11830,0080735
151,Umbilical hernia,614557,0001537,0060321,0080735
152,Patent ductus arteriosus,614557,0001643,13832,0080735
153,Scoliosis,614557,0002650,0060249,0080735
154,Myopathy,614557,0003198,423,0080735
155,Bladder diverticulum,604292,0000015,11353,0060783
156,Cryptorchidism,604292,0000028,11383,0060783
157,Hypogonadotropic hypogonadism,604292,0000044,0090070,0060783
158,Ureterocele,604292,0000070,4022,0060783
159,Vesicoureteral reflux,604292,0000076,9620,0060783
160,Renal agenesis,604292,0000104,14766,0060783
161,Hydronephrosis,604292,0000126,11111,0060783
162,Hypogonadism,604292,0000135,1924,0060783
163,Cleft palate,604292,0000175,674,0060783
164,Cleft lip,604292,0410030,9296,0060783
165,Choanal atresia,604292,0000453,9574,0060783
166,Blepharitis,604292,0000498,9423,0060783
167,Blepharophimosis,604292,0000581,10348,0060783
168,Dacryocystitis,604292,0000620,9938,0060783
169,Urethral obstruction,604292,0000796,12577,0060783
170,Diabetes insipidus,604292,0000873,9409,0060783
171,Ectodermal dysplasia,604292,0000968,2121,0060783
172,Syndactyly,604292,0001159,11193,0060783
173,Intellectual disability,604292,0001249,1059,0060783
174,Hypopituitarism,604292,0040075,9406,0060783
175,Tooth agenesis,604292,0009804,0050591,0060783
176,Bladder diverticulum,617821,0000015,11353,0080728
177,Scoliosis,617821,0002650,0060249,0080728
178,Inguinal hernia,130080,0000023,0060320,0080986
179,Periodontitis,130080,0000704,824,0080986
180,Cutis laxa,130080,0000973,3144,0080986
181,Scoliosis,130080,0002650,0060249,0080986
182,Gingival recession,130080,0030816,1134,0080986
183,Intestinal perforation,130080,0031368,2074,0080986
184,Inguinal hernia,225410,0000023,0060320,0080733
185,Gingival overgrowth,225410,0000212,3086,0080733
186,Myopia,225410,0000545,11830,0080733
187,Cutis laxa,225410,0000973,3144,0080733
188,Umbilical hernia,225410,0001537,0060321,0080733
189,Pneumothorax,225410,0002107,1673,0080733
190,Tooth agenesis,225410,0009804,0050591,0080733
191,Blepharochalasis,225410,0010749,348,0080733
192,Inguinal hernia,610168,0000023,0060320,0070234
193,Cleft palate,610168,0000175,674,0070234
194,Cleft soft palate,610168,0000185,0110214,0070234
195,Hydrocephalus,610168,0000238,10908,0070234
196,Strabismus,610168,0000486,540,0070234
197,Exotropia,610168,0000577,1143,0070234
198,Osteoporosis,610168,0000939,11476,0070234
199,Brachydactyly,610168,0001156,0050581,0070234
200,Syndactyly,610168,0001159,11193,0070234
201,Intellectual disability,610168,0001249,1059,0070234
202,Craniosynostosis,610168,0001363,2340,0070234
203,Umbilical hernia,610168,0001537,0060321,0070234
204,Mitral valve prolapse,610168,0001634,988,0070234
205,Patent ductus arteriosus,610168,0001643,13832,0070234
206,Pneumothorax,610168,0002107,1673,0070234
207,Esophagitis,610168,0100633,11963,0070234
208,Aortic dissection,610168,0002647,0080685,0070234
209,Scoliosis,610168,0002650,0060249,0070234
210,Spondylolisthesis,610168,0003302,6682,0070234
211,Aortic aneurysm,610168,0004942,3627,0070234
212,Abdominal aortic aneurysm,610168,0005112,7693,0070234
213,Polydactyly,610168,0010442,1148,0070234
214,Thoracic aortic aneurysm,610168,0012727,14004,0070234
215,Inguinal hernia,200990,0000023,0060320,9250
216,Cryptorchidism,200990,0000028,11383,9250
217,Hypospadias,200990,0000047,10892,9250
218,Cleft palate,200990,0000175,674,9250
219,Cleft lip,200990,0410030,9296,9250
220,Strabismus,200990,0000486,540,9250
221,Coloboma,200990,0000589,12270,9250
222,Optic atrophy,200990,0000648,5723,9250
223,Brachydactyly,200990,0001156,0050581,9250
224,Syndactyly,200990,0001159,11193,9250
225,Intellectual disability,200990,0001249,1059,9250
226,Umbilical hernia,200990,0001537,0060321,9250
227,Polydactyly,200990,0010442,1148,9250
228,Inguinal hernia,175700,0000023,0060320,14761
229,Cryptorchidism,175700,0000028,11383,14761
230,Hypospadias,175700,0000047,10892,14761
231,Hydrocephalus,175700,0000238,10908,14761
232,Syndactyly,175700,0001159,11193,14761
233,Intellectual disability,175700,0001249,1059,14761
234,Craniosynostosis,175700,0001363,2340,14761
235,Umbilical hernia,175700,0001537,0060321,14761
236,Hyperglycemia,175700,0003074,4195,14761
237,Polydactyly,175700,0010442,1148,14761
238,Inguinal hernia,192430,0000023,0060320,12583
243,Cryptorchidism,192430,0000028,11383,12583
248,Cleft palate,192430,0000175,674,12583
253,Microcephaly,192430,0000252,10907,12583
258,Blepharophimosis,192430,0000581,10348,12583
263,Hypoparathyroidism,192430,0000829,11199,12583
268,Intellectual disability,192430,0001249,1059,12583
273,Umbilical hernia,192430,0001537,0060321,12583
278,Ventricular septal defect,192430,0001629,1657,12583
283,Tetralogy of Fallot,192430,0001636,6419,12583
288,Inguinal hernia,149400,0000023,0060320,0060696
290,Umbilical hernia,149400,0001537,0060321,0060696
292,Inguinal hernia,181450,0000023,0060320,0060614
293,Obesity,181450,0001513,9970,0060614
294,Ventricular septal defect,181450,0001629,1657,0060614
295,Pyloric stenosis,181450,0002021,12639,0060614
296,Tooth agenesis,181450,0009804,0050591,0060614
297,Polydactyly,181450,0010442,1148,0060614
298,Inguinal hernia,618011,0000023,0060320,0080581
299,Umbilical hernia,618011,0001537,0060321,0080581
300,Scoliosis,618011,0002650,0060249,0080581
301,Respiratory failure,618011,0002878,11162,0080581
302,Distal arthrogryposis,618011,0005684,0050646,0080581
303,Inguinal hernia,615539,0000023,0060320,0080737
304,Mitral valve prolapse,615539,0001634,988,0080737
305,Patent foramen ovale,615539,0001655,13620,0080737
306,Inguinal hernia,312870,0000023,0060320,0060248
308,Cryptorchidism,312870,0000028,11383,0060248
310,Hypospadias,312870,0000047,10892,0060248
312,Cleft palate,312870,0000175,674,0060248
314,Hydrocephalus,312870,0000238,10908,0060248
316,Cleft lip,312870,0410030,9296,0060248
318,Congenital diaphragmatic hernia,312870,0000776,3827,0060248
320,Syndactyly,312870,0001159,11193,0060248
322,Cerebellar hypoplasia,312870,0001321,0070338,0060248
324,Umbilical hernia,312870,0001537,0060321,0060248
326,Ventricular septal defect,312870,0001629,1657,0060248
328,Cardiomyopathy,312870,0001638,0050700,0060248
330,Patent ductus arteriosus,312870,0001643,13832,0060248
332,Scoliosis,312870,0002650,0060249,0060248
334,Nephroblastoma,312870,0002667,2154,0060248
336,Polydactyly,312870,0010442,1148,0060248
338,Inguinal hernia,135900,0000023,0060320,0070042
339,Cryptorchidism,135900,0000028,11383,0070042
340,Hypospadias,135900,0000047,10892,0070042
341,Renal hypoplasia,135900,0000089,0080204,0070042
342,Hydronephrosis,135900,0000126,11111,0070042
343,Cleft palate,135900,0000175,674,0070042
344,Microcephaly,135900,0000252,10907,0070042
345,Choanal atresia,135900,0000453,9574,0070042
346,Astigmatism,135900,0000483,11782,0070042
347,Strabismus,135900,0000486,540,0070042
348,Ptosis,135900,0000508,0060260,0070042
349,Myopia,135900,0000545,11830,0070042
350,Congenital diaphragmatic hernia,135900,0000776,3827,0070042
351,Hypertrichosis,135900,0000998,420,0070042
352,Hemangioma,135900,0001028,255,0070042
353,Intellectual disability,135900,0001249,1059,0070042
354,Cerebellar hypoplasia,135900,0001321,0070338,0070042
355,Umbilical hernia,135900,0001537,0060321,0070042
356,Ventricular septal defect,135900,0001629,1657,0070042
357,Tetralogy of Fallot,135900,0001636,6419,0070042
358,Patent ductus arteriosus,135900,0001643,13832,0070042
359,Spina bifida,135900,0002414,0080016,0070042
360,Intussusception,135900,0002576,8446,0070042
361,Duodenal ulcer,135900,0002588,1724,0070042
362,Gastric ulcer,135900,0002592,10808,0070042
363,Scoliosis,135900,0002650,0060249,0070042
364,Spina bifida occulta,135900,0003298,0080073,0070042
365,Neural tube defect,135900,0045005,0080074,0070042
366,Inguinal hernia,305600,0000023,0060320,2120
367,Cryptorchidism,305600,0000028,11383,2120
368,Hydronephrosis,305600,0000126,11111,2120
369,Cleft palate,305600,0000175,674,2120
370,Hydrocephalus,305600,0000238,10908,2120
371,Microcephaly,305600,0000252,10907,2120
372,Cleft lip,305600,0410030,9296,2120
373,Strabismus,305600,0000486,540,2120
374,Aniridia,305600,0000526,12271,2120
375,Microphthalmia,305600,0000568,10629,2120
376,Coloboma,305600,0000589,12270,2120
377,Optic atrophy,305600,0000648,5723,2120
378,Congenital diaphragmatic hernia,305600,0000776,3827,2120
379,Brachydactyly,305600,0001156,0050581,2120
380,Syndactyly,305600,0001159,11193,2120
381,Intellectual disability,305600,0001249,1059,2120
382,Umbilical hernia,305600,0001537,0060321,2120
383,Omphalocele,305600,0001539,0060327,2120
384,Alopecia,305600,0001596,987,2120
385,Hiatus hernia,305600,0002036,12642,2120
386,Spina bifida,305600,0002414,0080016,2120
387,Meningocele,305600,0002435,1088,2120
388,Myelomeningocele,305600,0002475,0060326,2120
389,Scoliosis,305600,0002650,0060249,2120
390,Spina bifida occulta,305600,0003298,0080073,2120
391,Tooth agenesis,305600,0009804,0050591,2120
392,Polydactyly,305600,0010442,1148,2120
393,Neural tube defect,305600,0045005,0080074,2120
394,Inguinal hernia,130720,0000023,0060320,0111343
395,Cryptorchidism,130720,0000028,11383,0111343
396,Ptosis,130720,0000508,0060260,0111343
397,Umbilical hernia,130720,0001537,0060321,0111343
398,Patent ductus arteriosus,130720,0001643,13832,0111343
399,Spina bifida,130720,0002414,0080016,0111343
400,Meningocele,130720,0002435,1088,0111343
401,Scoliosis,130720,0002650,0060249,0111343
402,Syringomyelia,130720,0003396,327,0111343
403,Neural tube defect,130720,0045005,0080074,0111343
404,Inguinal hernia,188400,0000023,0060320,11198
405,Renal agenesis,188400,0000104,14766,11198
406,Hydronephrosis,188400,0000126,11111,11198
407,Cleft palate,188400,0000175,674,11198
408,Cleft soft palate,188400,0000185,0110214,11198
409,Strabismus,188400,0000486,540,11198
410,Esotropia,188400,0000565,9840,11198
411,Exotropia,188400,0000577,1143,11198
412,Blepharophimosis,188400,0000581,10348,11198
413,Amblyopia,188400,0000646,10376,11198
414,Sclerocornea,188400,0000647,0060252,11198
415,Hypothyroidism,188400,0000821,1459,11198
416,Seborrheic dermatitis,188400,0001051,8741,11198
417,Acne,188400,0001061,6543,11198
418,Cholelithiasis,188400,0001081,10211,11198
419,Obesity,188400,0001513,9970,11198
420,Umbilical hernia,188400,0001537,0060321,11198
421,Ventricular septal defect,188400,0001629,1657,11198
422,Tetralogy of Fallot,188400,0001636,6419,11198
423,Patent ductus arteriosus,188400,0001643,13832,11198
424,Schizophrenia,188400,0100753,5419,11198
425,Scoliosis,188400,0002650,0060249,11198
426,Accommodative esotropia,188400,0020046,9839,11198
427,Attention deficit hyperactivity disorder,188400,0007018,1094,11198
428,Inguinal hernia,618947,0000023,0060320,0080981
429,Nephrocalcinosis,618947,0000121,12679,0080981
430,Microcephaly,618947,0000252,10907,0080981
431,Strabismus,618947,0000486,540,0080981
432,Ptosis,618947,0000508,0060260,0080981
433,Intellectual disability,618947,0001249,1059,0080981
434,Dystonia,618947,0001332,543,0080981
435,Umbilical hernia,618947,0001537,0060321,0080981
436,Polyhydramnios,618947,0001561,8488,0080981
437,Cardiac arrest,618947,0001695,0060319,0080981
438,Normocytic anemia,618947,0001897,720,0080981
439,Anemia,618947,0001903,2355,0080981
440,Scoliosis,618947,0002650,0060249,0080981
441,Arthrogryposis multiplex congenita,618947,0002804,0080954,0080981
442,Inguinal hernia,269880,0000023,0060320,0111454
443,Megalocornea,269880,0000485,0060305,0111454
444,Glaucoma,269880,0000501,1686,0111454
445,Cataract,269880,0000518,83,0111454
446,Myopia,269880,0000545,11830,0111454
447,Diabetes mellitus,269880,0000819,9351,0111454
448,Glucose intolerance,269880,0001952,10603,0111454
449,Hyperglycemia,269880,0003074,4195,0111454
450,Lipodystrophy,269880,0009125,811,0111454
451,Tooth agenesis,269880,0009804,0050591,0111454
452,Inguinal hernia,278250,0000023,0060320,0112171
453,Cryptorchidism,278250,0000028,11383,0112171
454,Microcephaly,278250,0000252,10907,0112171
455,Cutis laxa,278250,0000973,3144,0112171
456,Intellectual disability,278250,0001249,1059,0112171
457,Umbilical hernia,278250,0001537,0060321,0112171
458,Scoliosis,278250,0002650,0060249,0112171
459,Inguinal hernia,617174,0000023,0060320,0080987
460,Periodontitis,617174,0000704,824,0080987
461,Umbilical hernia,617174,0001537,0060321,0080987
462,Scoliosis,617174,0002650,0060249,0080987
463,Inguinal hernia,614170,0000023,0060320,0080729
464,Megalocornea,614170,0000485,0060305,0080729
465,Myopia,614170,0000545,11830,0080729
466,Keratoconus,614170,0000563,10126,0080729
467,Sclerocornea,614170,0000647,0060252,0080729
468,Umbilical hernia,614170,0001537,0060321,0080729
469,Inguinal hernia,156550,0000023,0060320,0080045
470,Cleft palate,156550,0000175,674,0080045
471,Otitis media,156550,0000388,10754,0080045
472,Cataract,156550,0000518,83,0080045
473,Retinal detachment,156550,0000541,5327,0080045
474,Myopia,156550,0000545,11830,0080045
475,Umbilical hernia,156550,0001537,0060321,0080045
476,Scoliosis,156550,0002650,0060249,0080045
477,Tracheomalacia,156550,0002779,0060313,0080045
478,Inguinal hernia,102500,0000023,0060320,2736
479,Cryptorchidism,102500,0000028,11383,2736
480,Hypospadias,102500,0000047,10892,2736
481,Hydrocephalus,102500,0000238,10908,2736
482,Osteoporosis,102500,0000939,11476,2736
483,Hypertrichosis,102500,0000998,420,2736
484,Umbilical hernia,102500,0001537,0060321,2736
485,Patent ductus arteriosus,102500,0001643,13832,2736
486,Scoliosis,102500,0002650,0060249,2736
487,Inguinal hernia,300068,0000023,0060320,4674
488,Amenorrhea,300068,0000141,13938,4674
489,Gynecomastia,300068,0000771,12698,4674
490,Hyperpituitarism,300068,0010514,2444,4674
491,Inguinal hernia,145410,0000023,0060320,0080698
492,Cryptorchidism,145410,0000028,11383,0080698
493,Hypospadias,145410,0000047,10892,0080698
494,Cleft palate,145410,0000175,674,0080698
495,Cleft soft palate,145410,0000185,0110214,0080698
496,Cleft lip,145410,0410030,9296,0080698
497,Strabismus,145410,0000486,540,0080698
498,Intellectual disability,145410,0001249,1059,0080698
499,Cerebellar hypoplasia,145410,0001321,0070338,0080698
500,Craniosynostosis,145410,0001363,2340,0080698
501,Umbilical hernia,145410,0001537,0060321,0080698
502,Ventricular septal defect,145410,0001629,1657,0080698
503,Patent ductus arteriosus,145410,0001643,13832,0080698
504,Hiatus hernia,145410,0002036,12642,0080698
505,Inguinal hernia,208050,0000023,0060320,0050645
506,Keratoconus,208050,0000563,10126,0050645
507,Blepharophimosis,208050,0000581,10348,0050645
508,Congenital diaphragmatic hernia,208050,0000776,3827,0050645
509,Hypertension,208050,0000822,10763,0050645
510,Cutis laxa,208050,0000973,3144,0050645
511,Intellectual disability,208050,0001249,1059,0050645
512,Umbilical hernia,208050,0001537,0060321,0050645
513,Aortic valve stenosis,208050,0001650,1712,0050645
514,Hiatus hernia,208050,0002036,12642,0050645
515,Inguinal hernia,253010,0000023,0060320,0111392
516,Osteoporosis,253010,0000939,11476,0111392
517,Aortic valve stenosis,253010,0001650,1712,0111392
518,Scoliosis,253010,0002650,0060249,0111392
519,Inguinal hernia,130000,0000023,0060320,14720
520,Sinusitis,130000,0000246,0050127,14720
521,Myopia,130000,0000545,11830,14720
522,Arthritis,130000,0001369,848,14720
523,Umbilical hernia,130000,0001537,0060321,14720
524,Mitral valve prolapse,130000,0001634,988,14720
525,Osteoarthritis,130000,0002758,8398,14720
526,Aortic aneurysm,130000,0004942,3627,14720
527,Thoracic aortic aneurysm,130000,0012727,14004,14720
528,Inguinal hernia,613610,0000023,0060320,0080804
529,Cleft palate,613610,0000175,674,0080804
530,Blepharophimosis,613610,0000581,10348,0080804
531,Hypertension,613610,0000822,10763,0080804
532,Ectodermal dysplasia,613610,0000968,2121,0080804
533,Cutis laxa,613610,0000973,3144,0080804
534,Brachydactyly,613610,0001156,0050581,0080804
535,Syndactyly,613610,0001159,11193,0080804
536,Craniosynostosis,613610,0001363,2340,0080804
537,Cholestasis,613610,0001396,13580,0080804
538,Polyhydramnios,613610,0001561,8488,0080804
539,Patent ductus arteriosus,613610,0001643,13832,0080804
540,Patent foramen ovale,613610,0001655,13620,0080804
541,Polydactyly,613610,0010442,1148,0080804
542,Cholangitis,613610,0030151,9446,0080804
543,Inguinal hernia,136140,0000023,0060320,0111358
544,Cryptorchidism,136140,0000028,11383,0111358
545,Hypospadias,136140,0000047,10892,0111358
546,Nephrocalcinosis,136140,0000121,12679,0111358
547,Hydronephrosis,136140,0000126,11111,0111358
548,Otitis media,136140,0000388,10754,0111358
549,Strabismus,136140,0000486,540,0111358
550,Urethral obstruction,136140,0000796,12577,0111358
551,Umbilical hernia,136140,0001537,0060321,0111358
552,Celiac disease,136140,0002608,10608,0111358
553,Varicocele,136140,0012871,12337,0111358
554,Inguinal hernia,300855,0000023,0060320,0050781
555,Cryptorchidism,300855,0000028,11383,0050781
556,Microcephaly,300855,0000252,10907,0050781
557,Cutis laxa,300855,0000973,3144,0050781
558,Ventricular septal defect,300855,0001629,1657,0050781
559,Scoliosis,300855,0002650,0060249,0050781
560,Inguinal hernia,615582,0000023,0060320,0070236
561,Cleft palate,615582,0000175,674,0070236
562,Cleft soft palate,615582,0000185,0110214,0070236
563,Ptosis,615582,0000508,0060260,0070236
564,Arthritis,615582,0001369,848,0070236
565,Ventricular septal defect,615582,0001629,1657,0070236
566,Patent foramen ovale,615582,0001655,13620,0070236
567,Hiatus hernia,615582,0002036,12642,0070236
568,Esophagitis,615582,0100633,11963,0070236
569,Aortic dissection,615582,0002647,0080685,0070236
570,Scoliosis,615582,0002650,0060249,0070236
571,Osteoarthritis,615582,0002758,8398,0070236
572,Spondylolisthesis,615582,0003302,6682,0070236
573,Aortic aneurysm,615582,0004942,3627,0070236
574,Thoracic aortic aneurysm,615582,0012727,14004,0070236
575,Inguinal hernia,122470,0000023,0060320,0080505
576,Cryptorchidism,122470,0000028,11383,0080505
577,Hypospadias,122470,0000047,10892,0080505
578,Vesicoureteral reflux,122470,0000076,9620,0080505
579,Renal hypoplasia,122470,0000089,0080204,0080505
580,Proteinuria,122470,0000093,576,0080505
581,Cleft palate,122470,0000175,674,0080505
582,Microcephaly,122470,0000252,10907,0080505
583,Otitis media,122470,0000388,10754,0080505
584,Cleft lip,122470,0410030,9296,0080505
585,Choanal atresia,122470,0000453,9574,0080505
586,Astigmatism,122470,0000483,11782,0080505
587,Strabismus,122470,0000486,540,0080505
588,Ptosis,122470,0000508,0060260,0080505
589,Myopia,122470,0000545,11830,0080505
590,Coloboma,122470,0000589,12270,0080505
591,Optic atrophy,122470,0000648,5723,0080505
592,Congenital diaphragmatic hernia,122470,0000776,3827,0080505
593,Hypertrichosis,122470,0000998,420,0080505
594,Syndactyly,122470,0001159,11193,0080505
595,Intellectual disability,122470,0001249,1059,0080505
596,Ventricular septal defect,122470,0001629,1657,0080505
597,Thrombocytopenia,122470,0001873,1588,0080505
598,Pyloric stenosis,122470,0002021,12639,0080505
599,Hiatus hernia,122470,0002036,12642,0080505
600,Pneumonia,122470,0002090,552,0080505
601,Inguinal hernia,184250,0000023,0060320,0080028
602,Cleft palate,184250,0000175,674,0080028
603,Myopia,184250,0000545,11830,0080028
604,Brachydactyly,184250,0001156,0050581,0080028
605,Scoliosis,184250,0002650,0060249,0080028
606,Spondyloepimetaphyseal dysplasia,184250,0002651,0080027,0080028
607,Inguinal hernia,269921,0000023,0060320,3659
608,Hypertrichosis,269921,0000998,420,3659
609,Syndactyly,269921,0001159,11193,3659
610,Scoliosis,269921,0002650,0060249,3659
611,Attention deficit hyperactivity disorder,269921,0007018,1094,3659
612,Sleep apnea,269921,0010535,0050847,3659
613,Inguinal hernia,600972,0000023,0060320,0080055
614,Umbilical hernia,600972,0001537,0060321,0080055
615,Polyhydramnios,600972,0001561,8488,0080055
616,Inguinal hernia,618000,0000023,0060320,0080732
617,Cryptorchidism,618000,0000028,11383,0080732
618,Ptosis,618000,0000508,0060260,0080732
619,Osteoporosis,618000,0000939,11476,0080732
620,Cutis laxa,618000,0000973,3144,0080732
621,Arthritis,618000,0001369,848,0080732
622,Umbilical hernia,618000,0001537,0060321,0080732
623,Mitral valve prolapse,618000,0001634,988,0080732
624,Cellulitis,618000,0100658,3488,0080732
625,Scoliosis,618000,0002650,0060249,0080732
626,Osteoarthritis,618000,0002758,8398,0080732
627,Bursitis,618000,0025232,2965,0080732
628,Inguinal hernia,303600,0000023,0060320,3783
629,Microcephaly,303600,0000252,10907,3783
630,Cutis laxa,303600,0000973,3144,3783
631,Intellectual disability,303600,0001249,1059,3783
632,Rectal prolapse,303600,0002035,9307,3783
633,Scoliosis,303600,0002650,0060249,3783
634,Tooth agenesis,303600,0009804,0050591,3783
635,Inguinal hernia,607721,0000023,0060320,0080692
636,Cryptorchidism,607721,0000028,11383,0080692
637,Astigmatism,607721,0000483,11782,0080692
638,Strabismus,607721,0000486,540,0080692
639,Ptosis,607721,0000508,0060260,0080692
640,Myopia,607721,0000545,11830,0080692
641,Hemangioma,607721,0001028,255,0080692
642,Intellectual disability,607721,0001249,1059,0080692
643,Polyhydramnios,607721,0001561,8488,0080692
644,Ventricular septal defect,607721,0001629,1657,0080692
645,Cardiomyopathy,607721,0001638,0050700,0080692
646,Hypertrophic cardiomyopathy,607721,0001639,11984,0080692
647,Attention deficit hyperactivity disorder,607721,0007018,1094,0080692
648,Ichthyosis,607721,0008064,1697,0080692
649,Myelofibrosis,607721,0011974,4971,0080692
650,Inguinal hernia,618379,0000023,0060320,0112209
651,Microcephaly,618379,0000252,10907,0112209
652,Cataract,618379,0000518,83,0112209
653,Intellectual disability,618379,0001249,1059,0112209
654,Scoliosis,618379,0002650,0060249,0112209
655,Inguinal hernia,617563,0000023,0060320,0080254
656,Ptosis,617563,0000508,0060260,0080254
657,Intellectual disability,617563,0001249,1059,0080254
658,Apraxia,617563,0002186,0060135,0080254
659,Polydactyly,617563,0010442,1148,0080254
