,HPO_LABEL,OMIM,HPO,MESH,DOID
279,Scoliosis,615284,0002650,D012600,0110194
280,Azoospermia,617707,0000027,D053713,0070181
281,Infertility,617707,0000789,D007246,0070181
282,Azoospermia,618110,0000027,D053713,0111913
283,Oligospermia,618110,0000798,D009845,0111913
284,Azoospermia,235200,0000027,D053713,0111029
286,Hypogonadism,235200,0000135,D007006,0111029
288,Amenorrhea,235200,0000141,D000568,0111029
290,Diabetes mellitus,235200,0000819,D003920,0111029
292,Osteoporosis,235200,0000939,D010024,0111029
294,Edema,235200,0000969,D004487,0111029
296,Ascites,235200,0001541,D001201,0111029
298,Alopecia,235200,0001596,D000505,0111029
300,Cardiomegaly,235200,0001640,D006332,0111029
302,Splenomegaly,235200,0001744,D013163,0111029
304,Glucose intolerance,235200,0001952,D018149,0111029
306,Abdominal pain,235200,0002027,D015746,0111029
308,Pleural effusion,235200,0002202,D010996,0111029
310,Hepatomegaly,235200,0002240,D006529,0111029
312,Erectile dysfunction,235200,0100639,D007172,0111029
314,Pain,235200,0012531,D010146,0111029
316,Azoospermia,614837,0000027,D053713,0090074
317,Cryptorchidism,614837,0000028,D003456,0090074
318,Hypogonadism,614837,0000135,D007006,0090074
319,Amenorrhea,614837,0000141,D000568,0090074
320,Anosmia,614837,0000458,D000086582,0090074
321,Gynecomastia,614837,0000771,D006177,0090074
322,Hypopituitarism,614837,0040075,D007018,0090074
323,Azoospermia,400045,0000027,D053713,0111761
324,Hypospadias,400045,0000047,D007021,0111761
325,Gynecomastia,400045,0000771,D006177,0111761
326,Hyperpituitarism,400045,0010514,D006964,0111761
327,Azoospermia,308700,0000027,D053713,0090094
328,Cryptorchidism,308700,0000028,D003456,0090094
329,Hypogonadism,308700,0000135,D007006,0090094
330,Facial asymmetry,308700,0000324,D005146,0090094
331,Anosmia,308700,0000458,D000086582,0090094
332,Gynecomastia,308700,0000771,D006177,0090094
333,Ataxia,308700,0001251,D001259,0090094
334,Azoospermia,602782,0000027,D053713,0111278
335,Hypogonadism,602782,0000135,D007006,0111278
336,Retrognathia,602782,0000278,D063173,0111278
337,Gynecomastia,602782,0000771,D006177,0111278
338,Diabetes mellitus,602782,0000819,D003920,0111278
339,Alopecia,602782,0001596,D000505,0111278
340,Mitral valve prolapse,602782,0001634,D008945,0111278
341,Cardiomegaly,602782,0001640,D006332,0111278
342,Splenomegaly,602782,0001744,D013163,0111278
343,Hallux valgus,602782,0001822,D006215,0111278
344,Fever,602782,0001945,D005334,0111278
345,Glucose intolerance,602782,0001952,D018149,0111278
346,Pulmonary arterial hypertension,602782,0002092,D000081029,0111278
347,Hepatomegaly,602782,0002240,D006529,0111278
348,Histiocytosis,602782,0100727,D015614,0111278
349,Varicose veins,602782,0002619,D014648,0111278
350,Lymphadenopathy,602782,0002716,D000072281,0111278
351,Retroperitoneal fibrosis,602782,0005200,D012185,0111278
352,Venous insufficiency,602782,0005293,D014689,0111278
353,Persistent left superior vena cava,602782,0005301,D000083402,0111278
354,Hypopituitarism,602782,0040075,D007018,0111278
355,Corneal opacity,602782,0007957,D003318,0111278
356,Azoospermia,615841,0000027,D053713,0070182
357,Azoospermia,617706,0000027,D053713,0070177
358,Infertility,617706,0000789,D007246,0070177
359,Azoospermia,270960,0000027,D053713,0070176
360,Azoospermia,613957,0000027,D053713,0070169
361,Oligospermia,613957,0000798,D009845,0070169
362,Azoospermia,229070,0000027,D053713,0090088
363,Hypogonadism,229070,0000135,D007006,0090088
364,Amenorrhea,229070,0000141,D000568,0090088
365,Infertility,229070,0000789,D007246,0090088
366,Azoospermia,618115,0000027,D053713,0111925
367,Infertility,618115,0000789,D007246,0111925
368,Azoospermia,616950,0000027,D053713,0070172
369,Azoospermia,618091,0000027,D053713,0111930
370,Azoospermia,618086,0000027,D053713,0111916
371,Hyperpituitarism,618086,0010514,D006964,0111916
372,Azoospermia,615413,0000027,D053713,0070171
373,Infertility,615413,0000789,D007246,0070171
374,Azoospermia,617960,0000027,D053713,0111920
375,Oligospermia,617960,0000798,D009845,0111920
376,Azoospermia,614897,0000027,D053713,0090080
377,Cryptorchidism,614897,0000028,D003456,0090080
378,Amenorrhea,614897,0000141,D000568,0090080
379,Anosmia,614897,0000458,D000086582,0090080
380,Azoospermia,210900,0000027,D053713,2717
381,Cryptorchidism,210900,0000028,D003456,2717
382,Microcephaly,210900,0000252,D008831,2717
383,Diabetes mellitus,210900,0000819,D003920,2717
384,Hypertrichosis,210900,0000998,D006983,2717
385,Syndactyly,210900,0001159,D013576,2717
386,Intellectual disability,210900,0001249,D008607,2717
387,Leukemia,210900,0001909,D007938,2717
388,Glucose intolerance,210900,0001952,D018149,2717
389,Bronchiectasis,210900,0002110,D001987,2717
390,Lymphoma,210900,0002665,D008223,2717
391,Chromosome breakage,210900,0040012,D019457,2717
392,Polydactyly,210900,0010442,D017689,2717
393,Azoospermia,615842,0000027,D053713,0070179
394,Azoospermia,602390,0000027,D053713,0111027
395,Hypogonadism,602390,0000135,D007006,0111027
396,Amenorrhea,602390,0000141,D000568,0111027
397,Infertility,602390,0000789,D007246,0111027
398,Lethargy,602390,0001254,D053609,0111027
399,Arthritis,602390,0001369,D001168,0111027
400,Splenomegaly,602390,0001744,D013163,0111027
401,Hepatomegaly,602390,0002240,D006529,0111027
402,Azoospermia,619108,0000027,D053713,0112176
403,Infertility,619108,0000789,D007246,0112176
404,Oligospermia,619108,0000798,D009845,0112176
405,Cryptorchidism,146110,0000028,D003456,0090078
416,Hypogonadism,146110,0000135,D007006,0090078
427,Amenorrhea,146110,0000141,D000568,0090078
438,Gynecomastia,146110,0000771,D006177,0090078
449,Infertility,146110,0000789,D007246,0090078
460,Cryptorchidism,163950,0000028,D003456,0060578
463,Hypospadias,163950,0000047,D007021,0060578
466,Hypogonadism,163950,0000135,D007006,0060578
469,Cleft palate,163950,0000175,D002972,0060578
472,Hypertelorism,163950,0000316,D006972,0060578
475,Myopia,163950,0000545,D009216,0060578
478,Pectus carinatum,163950,0000768,D066166,0060578
481,Infertility,163950,0000789,D007246,0060578
484,Edema,163950,0000969,D004487,0060578
487,Lymphedema,163950,0001004,D008209,0060578
490,Brachydactyly,163950,0001156,D059327,0060578
493,Intellectual disability,163950,0001249,D008607,0060578
496,Failure to thrive,163950,0001508,D005183,0060578
499,Thrombocytopenia,163950,0001873,D013921,0060578
502,Leukemia,163950,0001909,D007938,0060578
505,Sarcoma,163950,0100242,D012509,0060578
508,Pleural effusion,163950,0002202,D010996,0060578
511,Neurofibrosarcoma,163950,0100697,D018319,0060578
514,Synovitis,163950,0100769,D013585,0060578
517,Scoliosis,163950,0002650,D012600,0060578
520,Kyphosis,163950,0002808,D007738,0060578
523,Chylothorax,163950,0010310,D002916,0060578
526,Cryptorchidism,200990,0000028,D003456,9250
527,Hypospadias,200990,0000047,D007021,9250
528,Rectovaginal fistula,200990,0000143,D012006,9250
529,Cleft palate,200990,0000175,D002972,9250
530,Retrognathia,200990,0000278,D063173,9250
531,Hypertelorism,200990,0000316,D006972,9250
532,Cleft lip,200990,0410030,D002971,9250
533,Strabismus,200990,0000486,D013285,9250
534,Coloboma,200990,0000589,D003103,9250
535,Optic atrophy,200990,0000648,D009896,9250
536,Brachydactyly,200990,0001156,D059327,9250
537,Syndactyly,200990,0001159,D013576,9250
538,Intellectual disability,200990,0001249,D008607,9250
539,Agenesis of corpus callosum,200990,0001274,D061085,9250
540,Failure to thrive,200990,0001508,D005183,9250
541,Rectal fistula,200990,0100590,D012003,9250
542,Hernia,200990,0100790,D006547,9250
543,Intestinal fistula,200990,0100819,D007412,9250
544,Vaginal fistula,200990,0004320,D014624,9250
545,Polydactyly,200990,0010442,D017689,9250
546,Cryptorchidism,615355,0000028,D003456,0060586
547,Hypertelorism,615355,0000316,D006972,0060586
548,Eczema,615355,0000964,D004485,0060586
549,Edema,615355,0000969,D004487,0060586
550,Cutis laxa,615355,0000973,D003483,0060586
551,Intellectual disability,615355,0001249,D008607,0060586
552,Failure to thrive,615355,0001508,D005183,0060586
553,Polyhydramnios,615355,0001561,D006831,0060586
554,Pleural effusion,615355,0002202,D010996,0060586
555,Cryptorchidism,617564,0000028,D003456,0080255
556,Microcephaly,617564,0000252,D008831,0080255
557,Cryptorchidism,613803,0000028,D003456,0080514
558,Hypospadias,613803,0000047,D007021,0080514
559,Microcephaly,613803,0000252,D008831,0080514
560,Retrognathia,613803,0000278,D063173,0080514
561,Failure to thrive,613803,0001508,D005183,0080514
562,Laryngomalacia,613803,0001601,D055092,0080514
563,Talipes,613803,0001883,D000070558,0080514
564,Gastroesophageal reflux,613803,0002020,D005764,0080514
565,Pneumonia,613803,0002090,D011014,0080514
566,Dyspnea,613803,0002094,D004417,0080514
567,Tracheomalacia,613803,0002779,D055090,0080514
568,Bronchomalacia,613803,0002780,D055091,0080514
569,Coxa vara,613803,0002812,D060905,0080514
570,Genu varum,613803,0002970,D056305,0080514
571,Cryptorchidism,618929,0000028,D003456,0080948
572,Hypertelorism,618929,0000316,D006972,0080948
573,Strabismus,618929,0000486,D013285,0080948
574,Telecanthus,618929,0000506,C562941,0080948
575,Peters anomaly,618929,0000659,C537884,0080948
576,Hallucinations,618929,0000738,D006212,0080948
577,Anxiety,618929,0000739,D001007,0080948
578,Hypertrichosis,618929,0000998,D006983,0080948
579,Intellectual disability,618929,0001249,D008607,0080948
580,Agenesis of corpus callosum,618929,0001274,D061085,0080948
581,Dextrocardia,618929,0001651,D003914,0080948
582,Facial hypertrichosis,618929,0002219,C565029,0080948
583,Self-injurious behavior,618929,0100716,D016728,0080948
584,Cryptorchidism,150250,0000028,D003456,14764
585,Cleft palate,150250,0000175,D002972,14764
586,Hypertelorism,150250,0000316,D006972,14764
587,Cleft lip,150250,0410030,D002971,14764
588,Pectus carinatum,150250,0000768,D066166,14764
589,Intellectual disability,150250,0001249,D008607,14764
590,Talipes,150250,0001883,D000070558,14764
591,Spinal cord compression,150250,0002176,D013117,14764
592,Scoliosis,150250,0002650,D012600,14764
593,Tracheal stenosis,150250,0002777,D014135,14764
594,Tracheomalacia,150250,0002779,D055090,14764
595,Bronchomalacia,150250,0002780,D055091,14764
596,Kyphosis,150250,0002808,D007738,14764
597,Hip dislocation,150250,0002827,D006617,14764
598,Spina bifida occulta,150250,0003298,D016136,14764
599,Spondylolysis,150250,0003304,D013169,14764
600,Aortic aneurysm,150250,0004942,D001014,14764
601,Knee dislocation,150250,0004976,D031221,14764
602,Corneal opacity,150250,0007957,D003318,14764
603,Spinal dysraphism,150250,0010301,D016135,14764
604,Cryptorchidism,164745,0000028,D003456,0080845
605,Hypospadias,164745,0000047,D007021,0080845
606,Cryptorchidism,192430,0000028,D003456,12583
611,Cleft palate,192430,0000175,D002972,12583
616,Velopharyngeal insufficiency,192430,0000220,D014681,12583
621,Microcephaly,192430,0000252,D008831,12583
626,Retrognathia,192430,0000278,D063173,12583
631,Blepharophimosis,192430,0000581,D016569,12583
636,Delusions,192430,0000746,D003702,12583
641,Hypoparathyroidism,192430,0000829,D007011,12583
646,Intellectual disability,192430,0001249,D008607,12583
651,Tetralogy of Fallot,192430,0001636,D013771,12583
656,Talipes,192430,0001883,D000070558,12583
661,Hernia,192430,0100790,D006547,12583
666,Hypocalcemia,192430,0002901,D006996,12583
671,Cryptorchidism,305600,0000028,D003456,2120
672,Hydronephrosis,305600,0000126,D006869,2120
673,Cleft palate,305600,0000175,D002972,2120
674,Hydrocephalus,305600,0000238,D006849,2120
675,Microcephaly,305600,0000252,D008831,2120
676,Facial asymmetry,305600,0000324,D005146,2120
677,Cleft lip,305600,0410030,D002971,2120
678,Strabismus,305600,0000486,D013285,2120
679,Aniridia,305600,0000526,D015783,2120
680,Coloboma,305600,0000589,D003103,2120
681,Optic atrophy,305600,0000648,D009896,2120
682,Ectopia lentis,305600,0001083,D004479,2120
683,Brachydactyly,305600,0001156,D059327,2120
684,Syndactyly,305600,0001159,D013576,2120
685,Intellectual disability,305600,0001249,D008607,2120
686,Agenesis of corpus callosum,305600,0001274,D061085,2120
687,Alopecia,305600,0001596,D000505,2120
688,Ectrodactyly,305600,0100257,C574275,2120
689,Arnold-Chiari malformation,305600,0002308,D001139,2120
690,Meningocele,305600,0002435,D008588,2120
691,Hernia,305600,0100790,D006547,2120
692,Scoliosis,305600,0002650,D012600,2120
693,Hip dislocation,305600,0002827,D006617,2120
694,Spina bifida occulta,305600,0003298,D016136,2120
695,Spinal dysraphism,305600,0010301,D016135,2120
696,Polydactyly,305600,0010442,D017689,2120
697,Cryptorchidism,227646,0000028,D003456,0111083
698,Hypogonadism,227646,0000135,D007006,0111083
699,Hydrocephalus,227646,0000238,D006849,0111083
700,Microcephaly,227646,0000252,D008831,0111083
701,Hypertelorism,227646,0000316,D006972,0111083
702,Strabismus,227646,0000486,D013285,0111083
703,Blepharophimosis,227646,0000581,D016569,0111083
704,Pallor,227646,0000980,D010167,0111083
705,Intellectual disability,227646,0001249,D008607,0111083
706,Agenesis of corpus callosum,227646,0001274,D061085,0111083
707,Annular pancreas,227646,0001734,C536376,0111083
708,Thrombocytopenia,227646,0001873,D013921,0111083
709,Neutropenia,227646,0001875,D009503,0111083
710,Pancytopenia,227646,0001876,D010198,0111083
711,Anemia,227646,0001903,D000740,0111083
712,Leukemia,227646,0001909,D007938,0111083
713,Esophageal atresia,227646,0002032,D004933,0111083
714,Tracheoesophageal fistula,227646,0002575,D014138,0111083
715,Chromosome breakage,227646,0040012,D019457,0111083
716,Polydactyly,227646,0010442,D017689,0111083
717,Cryptorchidism,130720,0000028,D003456,0111343
718,Hypertelorism,130720,0000316,D006972,0111343
719,Arnold-Chiari malformation,130720,0002308,D001139,0111343
720,Meningocele,130720,0002435,D008588,0111343
721,Hernia,130720,0100790,D006547,0111343
722,Scoliosis,130720,0002650,D012600,0111343
723,Platybasia,130720,0002691,D010985,0111343
724,Kyphosis,130720,0002808,D007738,0111343
725,Syringomyelia,130720,0003396,D013595,0111343
726,Spinal dysraphism,130720,0010301,D016135,0111343
727,Cryptorchidism,176270,0000028,D003456,11983
739,Hypogonadism,176270,0000135,D007006,11983
751,Amenorrhea,176270,0000141,D000568,11983
763,Strabismus,176270,0000486,D013285,11983
775,Myopia,176270,0000545,D009216,11983
787,Esotropia,176270,0000565,D004948,11983
799,Infertility,176270,0000789,D007246,11983
811,Diabetes mellitus,176270,0000819,D003920,11983
823,Adrenal insufficiency,176270,0000846,D000309,11983
835,Oligomenorrhea,176270,0000876,D009839,11983
847,Osteoporosis,176270,0000939,D010024,11983
859,Syndactyly,176270,0001159,D013576,11983
871,Failure to thrive,176270,0001508,D005183,11983
883,Obesity,176270,0001513,D009765,11983
895,Glucose intolerance,176270,0001952,D018149,11983
907,Apnea,176270,0002104,D001049,11983
919,Self-injurious behavior,176270,0100716,D016728,11983
931,Scoliosis,176270,0002650,D012600,11983
943,Hypoventilation,176270,0002791,D007040,11983
955,Kyphosis,176270,0002808,D007738,11983
967,Genu valgum,176270,0002857,D056304,11983
979,Hypopituitarism,176270,0040075,D007018,11983
991,Cryptorchidism,610733,0000028,D003456,0060582
992,Hydronephrosis,610733,0000126,D006869,0060582
993,Hypertelorism,610733,0000316,D006972,0060582
994,Intellectual disability,610733,0001249,D008607,0060582
995,Polyhydramnios,610733,0001561,D006831,0060582
996,Thrombocytopenia,610733,0001873,D013921,0060582
997,Scoliosis,610733,0002650,D012600,0060582
998,Cryptorchidism,618840,0000028,D003456,0080950
999,Hypospadias,618840,0000047,D007021,0080950
1000,Microcephaly,618840,0000252,D008831,0080950
1001,Intellectual disability,618840,0001249,D008607,0080950
1002,Alopecia,618840,0001596,D000505,0080950
1003,Ichthyosis,618840,0008064,D007057,0080950
1004,Cryptorchidism,258315,0000028,D003456,0080844
1005,Blepharophimosis,258315,0000581,D016569,0080844
1006,Hemangioma,258315,0001028,D006391,0080844
1007,Pterygium,258315,0001059,D011625,0080844
1008,Hernia,258315,0100790,D006547,0080844
1009,Cryptorchidism,600373,0000028,D003456,0111274
1010,Rectovaginal fistula,600373,0000143,D012006,0111274
1011,Cataract,600373,0000518,D002386,0111274
1012,Intellectual disability,600373,0001249,D008607,0111274
1013,Polyhydramnios,600373,0001561,D006831,0111274
1014,Vocal cord paralysis,600373,0001605,D014826,0111274
1015,Gastroesophageal reflux,600373,0002020,D005764,0111274
1016,Rectal fistula,600373,0100590,D012003,0111274
1017,Hernia,600373,0100790,D006547,0111274
1018,Intestinal fistula,600373,0100819,D007412,0111274
1019,Scoliosis,600373,0002650,D012600,0111274
1020,Hip dislocation,600373,0002827,D006617,0111274
1021,Genu valgum,600373,0002857,D056304,0111274
1022,Paralysis,600373,0003470,D010243,0111274
1023,Vaginal fistula,600373,0004320,D014624,0111274
1024,Vocal cord dysfunction,600373,0031801,D064706,0111274
1025,Cryptorchidism,136140,0000028,D003456,0111358
1026,Hypospadias,136140,0000047,D007021,0111358
1027,Nephrocalcinosis,136140,0000121,D009397,0111358
1028,Hydronephrosis,136140,0000126,D006869,0111358
1029,Otitis media,136140,0000388,D010033,0111358
1030,Strabismus,136140,0000486,D013285,0111358
1031,Urethral obstruction,136140,0000796,D014524,0111358
1032,Hirsutism,136140,0001007,D006628,0111358
1033,Hernia,136140,0100790,D006547,0111358
1034,Celiac disease,136140,0002608,D002446,0111358
1035,Persistent left superior vena cava,136140,0005301,D000083402,0111358
1036,Varicocele,136140,0012871,D014646,0111358
1037,Cryptorchidism,194190,0000028,D003456,0050460
1043,Hypospadias,194190,0000047,D007021,0050460
1049,Cleft palate,194190,0000175,D002972,0050460
