,HPO_LABEL,ORPHA,HPO,DOID_MAP,EDGES_TO_DOID
185,Intellectual disability,2508,0001249,1059,0112151
186,Scoliosis,2508,0002650,0060249,0112151
187,Inguinal hernia,2092,0000023,0060320,2120
188,Hydronephrosis,2092,0000126,11111,2120
189,Strabismus,2092,0000486,540,2120
190,Microphthalmia,2092,0000568,10629,2120
191,Coloboma,2092,0000589,12270,2120
192,Congenital diaphragmatic hernia,2092,0000776,3827,2120
193,Syndactyly,2092,0001159,11193,2120
194,Umbilical hernia,2092,0001537,0060321,2120
195,Omphalocele,2092,0001539,0060327,2120
196,Alopecia,2092,0001596,987,2120
197,Ventricular septal defect,2092,0001629,1657,2120
198,Patent ductus arteriosus,2092,0001643,13832,2120
199,Duodenal atresia,2092,0002247,0080216,2120
200,Spina bifida,2092,0002414,0080016,2120
201,Scoliosis,2092,0002650,0060249,2120
202,Tooth agenesis,2092,0009804,0050591,2120
203,Polydactyly,2092,0010442,1148,2120
204,Intestinal atresia,2092,0011100,10486,2120
205,Neural tube defect,2092,0045005,0080074,2120
206,Papilloma,2092,0012740,2615,2120
207,Inguinal hernia,709,0000023,0060320,0080201
208,Cryptorchidism,709,0000028,11383,0080201
209,Hypospadias,709,0000047,10892,0080201
210,Hydronephrosis,709,0000126,11111,0080201
211,Cleft palate,709,0000175,674,0080201
212,Hydrocephalus,709,0000238,10908,0080201
213,Microcephaly,709,0000252,10907,0080201
214,Cleft lip,709,0410030,9296,0080201
215,Glaucoma,709,0000501,1686,0080201
216,Cataract,709,0000518,83,0080201
217,Coloboma,709,0000589,12270,0080201
218,Optic atrophy,709,0000648,5723,0080201
219,Peters anomaly,709,0000659,0060673,0080201
220,Hypothyroidism,709,0000821,1459,0080201
221,Congenital hypothyroidism,709,0000851,0050328,0080201
222,Brachydactyly,709,0001156,0050581,0080201
223,Syndactyly,709,0001159,11193,0080201
224,Intellectual disability,709,0001249,1059,0080201
225,Umbilical hernia,709,0001537,0060321,0080201
226,Polyhydramnios,709,0001561,8488,0080201
227,Patent ductus arteriosus,709,0001643,13832,0080201
228,Spina bifida,709,0002414,0080016,0080201
229,Spina bifida occulta,709,0003298,0080073,0080201
230,Hypopituitarism,709,0040075,9406,0080201
231,Neural tube defect,709,0045005,0080074,0080201
232,Inguinal hernia,2849,0000023,0060320,0060476
233,Cryptorchidism,2849,0000028,11383,0060476
234,Ptosis,2849,0000508,0060260,0060476
235,Hemangioma,2849,0001028,255,0060476
236,Intellectual disability,2849,0001249,1059,0060476
237,Status epilepticus,2849,0002133,1824,0060476
238,Nephroblastoma,2849,0002667,2154,0060476
239,Capillary hemangioma,2849,0005306,2725,0060476
240,Inguinal hernia,3163,0000023,0060320,0111454
241,Megalocornea,3163,0000485,0060305,0111454
242,Glaucoma,3163,0000501,1686,0111454
243,Diabetes mellitus,3163,0000819,9351,0111454
244,Brachydactyly,3163,0001156,0050581,0111454
245,Alopecia,3163,0001596,987,0111454
246,Glucose intolerance,3163,0001952,10603,0111454
247,Lipodystrophy,3163,0009125,811,0111454
248,Inguinal hernia,821,0000023,0060320,14748
251,Cryptorchidism,821,0000028,11383,14748
254,Hypospadias,821,0000047,10892,14748
257,Ureteropelvic junction obstruction,821,0000074,0111145,14748
260,Vesicoureteral reflux,821,0000076,9620,14748
263,Renal agenesis,821,0000104,14766,14748
266,Hydronephrosis,821,0000126,11111,14748
269,Otitis media,821,0000388,10754,14748
272,Astigmatism,821,0000483,11782,14748
275,Strabismus,821,0000486,540,14748
278,Cataract,821,0000518,83,14748
281,Myopia,821,0000545,11830,14748
284,Urethral obstruction,821,0000796,12577,14748
287,Hypothyroidism,821,0000821,1459,14748
290,Hemangioma,821,0001028,255,14748
293,Syndactyly,821,0001159,11193,14748
296,Intellectual disability,821,0001249,1059,14748
299,Cerebellar hypoplasia,821,0001321,0070338,14748
302,Craniosynostosis,821,0001363,2340,14748
305,Cholestasis,821,0001396,13580,14748
308,Umbilical hernia,821,0001537,0060321,14748
311,Ventricular septal defect,821,0001629,1657,14748
314,Patent ductus arteriosus,821,0001643,13832,14748
317,Phimosis,821,0001741,2712,14748
320,Leukemia,821,0001909,1240,14748
323,Hypoglycemia,821,0001943,9993,14748
326,Constipation,821,0002019,2089,14748
329,Dyscalculia,821,0002442,12568,14748
332,Acute leukemia,821,0002488,12603,14748
335,Scoliosis,821,0002650,0060249,14748
338,Neuroblastoma,821,0003006,769,14748
341,Hypercalcemia,821,0003072,12678,14748
344,Aortic aneurysm,821,0004942,3627,14748
347,Ureteral obstruction,821,0006000,5199,14748
350,Acute lymphoblastic leukemia,821,0006721,9952,14748
353,Attention deficit hyperactivity disorder,821,0007018,1094,14748
356,Teratoma,821,0009792,3307,14748
359,Cholesteatoma,821,0009797,869,14748
362,Tooth agenesis,821,0009804,0050591,14748
365,Inguinal hernia,2505,0000023,0060320,0112241
367,Cryptorchidism,2505,0000028,11383,0112241
369,Hypospadias,2505,0000047,10892,0112241
371,Cleft palate,2505,0000175,674,0112241
373,Microcephaly,2505,0000252,10907,0112241
375,Microphthalmia,2505,0000568,10629,0112241
377,Intellectual disability,2505,0001249,1059,0112241
379,Umbilical hernia,2505,0001537,0060321,0112241
381,Congestive heart failure,2505,0001635,6000,0112241
383,Neuroblastoma,2505,0003006,769,0112241
385,Inguinal hernia,137834,0000023,0060320,0111789
386,Gingival overgrowth,137834,0000212,3086,0111789
387,Gynecomastia,137834,0000771,12698,0111789
388,Acne,137834,0001061,6543,0111789
389,Brachydactyly,137834,0001156,0050581,0111789
390,Umbilical hernia,137834,0001537,0060321,0111789
391,Mitral valve prolapse,137834,0001634,988,0111789
392,Scoliosis,137834,0002650,0060249,0111789
393,Inguinal hernia,2834,0000023,0060320,0112171
394,Cryptorchidism,2834,0000028,11383,0112171
395,Microcephaly,2834,0000252,10907,0112171
396,Myopia,2834,0000545,11830,0112171
397,Cutis laxa,2834,0000973,3144,0112171
398,Cerebellar hypoplasia,2834,0001321,0070338,0112171
399,Umbilical hernia,2834,0001537,0060321,0112171
400,Status epilepticus,2834,0002133,1824,0112171
401,Scoliosis,2834,0002650,0060249,0112171
402,Lipodystrophy,2834,0009125,811,0112171
403,Inguinal hernia,666,0000023,0060320,12347
406,Hydrocephalus,666,0000238,10908,12347
409,Glaucoma,666,0000501,1686,12347
412,Dentinogenesis imperfecta,666,0000703,4154,12347
415,Nephrolithiasis,666,0000787,585,12347
418,Osteoporosis,666,0000939,11476,12347
421,Cutis laxa,666,0000973,3144,12347
424,Hemangioma,666,0001028,255,12347
427,Arthritis,666,0001369,848,12347
430,Umbilical hernia,666,0001537,0060321,12347
433,Mitral valve prolapse,666,0001634,988,12347
436,Thrombocytopenia,666,0001873,1588,12347
439,Constipation,666,0002019,2089,12347
442,Trigeminal neuralgia,666,0100661,12098,12347
445,Aortic dissection,666,0002647,0080685,12347
448,Scoliosis,666,0002650,0060249,12347
451,Osteoarthritis,666,0002758,8398,12347
454,Syringomyelia,666,0003396,327,12347
457,Aortic aneurysm,666,0004942,3627,12347
460,Intestinal obstruction,666,0005214,8437,12347
463,Thoracic aortic aneurysm,666,0012727,14004,12347
466,Inguinal hernia,276432,0000023,0060320,0050781
467,Cryptorchidism,276432,0000028,11383,0050781
468,Cutis laxa,276432,0000973,3144,0050781
469,Dystonia,276432,0001332,543,0050781
470,Ventricular septal defect,276432,0001629,1657,0050781
471,Scoliosis,276432,0002650,0060249,0050781
472,Focal dystonia,276432,0004373,0050836,0050781
473,Craniofacial dystonia,276432,0012179,0050845,0050781
474,Inguinal hernia,93930,0000023,0060320,0080174
476,Vesicoureteral reflux,93930,0000076,9620,0080174
478,Umbilical hernia,93930,0001537,0060321,0080174
480,Omphalocele,93930,0001539,0060327,0080174
482,Bladder exstrophy,93930,0002836,0080174,0080174
484,Inguinal hernia,1507,0000023,0060320,0060764
486,Cryptorchidism,1507,0000028,11383,0060764
488,Hydronephrosis,1507,0000126,11111,0060764
490,Gingival overgrowth,1507,0000212,3086,0060764
492,Otitis media,1507,0000388,10754,0060764
494,Strabismus,1507,0000486,540,0060764
496,Ptosis,1507,0000508,0060260,0060764
498,Brachydactyly,1507,0001156,0050581,0060764
500,Syndactyly,1507,0001159,11193,0060764
502,Intellectual disability,1507,0001249,1059,0060764
504,Umbilical hernia,1507,0001537,0060321,0060764
506,Alopecia,1507,0001596,987,0060764
508,Ventricular septal defect,1507,0001629,1657,0060764
510,Tetralogy of Fallot,1507,0001636,6419,0060764
512,Scoliosis,1507,0002650,0060249,0060764
514,Tooth agenesis,1507,0009804,0050591,0060764
516,Ankyloglossia,1507,0010296,0060604,0060764
518,Inguinal hernia,3342,0000023,0060320,0050645
519,Cleft palate,3342,0000175,674,0050645
520,Cleft lip,3342,0410030,9296,0050645
521,Strabismus,3342,0000486,540,0050645
522,Myopia,3342,0000545,11830,0050645
523,Keratoconus,3342,0000563,10126,0050645
524,Blepharophimosis,3342,0000581,10348,0050645
525,Hypertension,3342,0000822,10763,0050645
526,Cutis laxa,3342,0000973,3144,0050645
527,Intellectual disability,3342,0001249,1059,0050645
528,Craniosynostosis,3342,0001363,2340,0050645
529,Congestive heart failure,3342,0001635,6000,0050645
530,Cardiomyopathy,3342,0001638,0050700,0050645
531,Hypertrophic cardiomyopathy,3342,0001639,11984,0050645
532,Dilated cardiomyopathy,3342,0001644,12930,0050645
533,Myocardial infarction,3342,0001658,5844,0050645
534,Cardiac arrest,3342,0001695,0060319,0050645
535,Pyloric stenosis,3342,0002021,12639,0050645
536,Hiatus hernia,3342,0002036,12642,0050645
537,Esophagitis,3342,0100633,11963,0050645
538,Aortic dissection,3342,0002647,0080685,0050645
539,Scoliosis,3342,0002650,0060249,0050645
540,Respiratory failure,3342,0002878,11162,0050645
541,Aortic aneurysm,3342,0004942,3627,0050645
542,Thoracic aortic aneurysm,3342,0012727,14004,0050645
543,Myocarditis,3342,0012819,820,0050645
544,Inguinal hernia,468678,0000023,0060320,0070067
545,Microcephaly,468678,0000252,10907,0070067
546,Astigmatism,468678,0000483,11782,0070067
547,Strabismus,468678,0000486,540,0070067
548,Myopia,468678,0000545,11830,0070067
549,Coloboma,468678,0000589,12270,0070067
550,Blindness,468678,0000618,1432,0070067
551,Optic atrophy,468678,0000648,5723,0070067
552,Congenital diaphragmatic hernia,468678,0000776,3827,0070067
553,Vitiligo,468678,0001045,12306,0070067
554,Intellectual disability,468678,0001249,1059,0070067
555,Obesity,468678,0001513,9970,0070067
556,Constipation,468678,0002019,2089,0070067
557,Obstructive sleep apnea,468678,0002870,0050848,0070067
558,Sleep apnea,468678,0010535,0050847,0070067
559,Inguinal hernia,955,0000023,0060320,2736
560,Hypospadias,955,0000047,10892,2736
561,Cleft palate,955,0000175,674,2736
562,Hydrocephalus,955,0000238,10908,2736
563,Cataract,955,0000518,83,2736
564,Myopia,955,0000545,11830,2736
565,Coloboma,955,0000589,12270,2736
566,Periodontitis,955,0000704,824,2736
567,Osteoporosis,955,0000939,11476,2736
568,Hypertrichosis,955,0000998,420,2736
569,Brachydactyly,955,0001156,0050581,2736
570,Umbilical hernia,955,0001537,0060321,2736
571,Ventricular septal defect,955,0001629,1657,2736
572,Patent ductus arteriosus,955,0001643,13832,2736
573,Aortic valve stenosis,955,0001650,1712,2736
574,Scoliosis,955,0002650,0060249,2736
575,Syringomyelia,955,0003396,327,2736
576,Prostatitis,900,0000024,14654,12132
581,Proteinuria,900,0000093,576,12132
586,Hydronephrosis,900,0000126,11111,12132
591,Sinusitis,900,0000246,0050127,12132
596,Otitis media,900,0000388,10754,12132
601,Hypertension,900,0000822,10763,12132
606,Diabetes insipidus,900,0000873,9409,12132
611,Purpura,900,0000979,3326,12132
616,Meningitis,900,0001287,9471,12132
621,Pericarditis,900,0001701,1787,12132
626,Pancreatitis,900,0001733,4989,12132
631,Pulmonary fibrosis,900,0002206,3770,12132
636,Hemiplegia,900,0002301,10969,12132
641,Vasculitis,900,0002633,865,12132
646,Intestinal obstruction,900,0005214,8437,12132
651,Ureteral obstruction,900,0006000,5199,12132
656,Prostatitis,56,0000024,14654,9270
657,Nephrolithiasis,56,0000787,585,9270
658,Hypertension,56,0000822,10763,9270
659,Arthritis,56,0001369,848,9270
660,Myocardial infarction,56,0001658,5844,9270
661,Atherosclerosis,56,0002621,1936,9270
662,Arteriosclerosis,56,0002634,2349,9270
663,Osteoarthritis,56,0002758,8398,9270
664,Azoospermia,361,0000027,14227,0080620
669,Cryptorchidism,361,0000028,11383,0080620
674,Hypothyroidism,361,0000821,1459,0080620
679,Congenital hypothyroidism,361,0000851,0050328,0080620
684,Intellectual disability,361,0001249,1059,0080620
689,Hypoglycemic coma,361,0001325,1607,0080620
694,Cardiomyopathy,361,0001638,0050700,0080620
699,Hypertrophic cardiomyopathy,361,0001639,11984,0080620
704,Hypoglycemia,361,0001943,9993,0080620
709,Diarrhea,361,0002014,13250,0080620
714,Constipation,361,0002019,2089,0080620
719,Azoospermia,48,0000027,14227,0111862
721,Infertility,48,0000789,5223,0111862
723,Oligospermia,48,0000798,14228,0111862
725,Male infertility,48,0003251,12336,0111862
727,Azoospermia,84,0000027,14227,13636
749,Cryptorchidism,84,0000028,11383,13636
771,Hypospadias,84,0000047,10892,13636
793,Hypogonadism,84,0000135,1924,13636
815,Cleft palate,84,0000175,674,13636
837,Hydrocephalus,84,0000238,10908,13636
859,Microcephaly,84,0000252,10907,13636
881,Choanal atresia,84,0000453,9574,13636
903,Astigmatism,84,0000483,11782,13636
925,Strabismus,84,0000486,540,13636
947,Ptosis,84,0000508,0060260,13636
969,Cataract,84,0000518,83,13636
991,Microphthalmia,84,0000568,10629,13636
1013,Syndactyly,84,0001159,11193,13636
1035,Intellectual disability,84,0001249,1059,13636
1057,Umbilical hernia,84,0001537,0060321,13636
1079,Oligohydramnios,84,0001562,12215,13636
1101,Tetralogy of Fallot,84,0001636,6419,13636
1123,Cardiomyopathy,84,0001638,0050700,13636
1145,Hypertrophic cardiomyopathy,84,0001639,11984,13636
1167,Patent ductus arteriosus,84,0001643,13832,13636
1189,Arteriovenous malformation,84,0100026,11294,13636
1211,Thrombocytopenia,84,0001873,1588,13636
1233,Leukopenia,84,0001882,615,13636
1255,Anemia,84,0001903,2355,13636
1277,Sideroblastic anemia,84,0001924,8955,13636
1299,Spina bifida,84,0002414,0080016,13636
1321,Scoliosis,84,0002650,0060249,13636
1343,Pyridoxine-responsive sideroblastic anemia,84,0005522,0060066,13636
1365,Neural tube defect,84,0045005,0080074,13636
1387,Azoospermia,125,0000027,14227,2717
1388,Otitis media,125,0000388,10754,2717
1389,Uveitis,125,0000554,13141,2717
1390,Infertility,125,0000789,5223,2717
1391,Oligospermia,125,0000798,14228,2717
1392,Diabetes mellitus,125,0000819,9351,2717
1393,Obesity,125,0001513,9970,2717
1394,Alopecia,125,0001596,987,2717
1395,Paronychia,125,0001818,13117,2717
1396,Leukemia,125,0001909,1240,2717
1397,Glucose intolerance,125,0001952,10603,2717
1398,Pneumonia,125,0002090,552,2717
1399,Acute leukemia,125,0002488,12603,2717
1400,Cheilitis,125,0100825,1762,2717
1401,Lymphoma,125,0002665,0060058,2717
1402,Nephroblastoma,125,0002667,2154,2717
1403,Respiratory failure,125,0002878,11162,2717
1404,Male infertility,125,0003251,12336,2717
1405,Acute myeloid leukemia,125,0004808,9119,2717
1406,Acute lymphoblastic leukemia,125,0006721,9952,2717
1407,Stomach cancer,125,0012126,10534,2717
1408,Rhinitis,125,0012384,4483,2717
1409,Bronchitis,125,0012387,6132,2717
1410,Azoospermia,1772,0000027,14227,0080656
1411,Cryptorchidism,1772,0000028,11383,0080656
1412,Hypospadias,1772,0000047,10892,0080656
1413,Ovarian cyst,1772,0000138,5119,0080656
1414,Gonadoblastoma,1772,0000150,3301,0080656
1415,Otitis media,1772,0000388,10754,0080656
1416,Glaucoma,1772,0000501,1686,0080656
1417,Gynecomastia,1772,0000771,12698,0080656
1418,Infertility,1772,0000789,5223,0080656
1419,Hypothyroidism,1772,0000821,1459,0080656
1420,Intellectual disability,1772,0001249,1059,0080656
1421,Obesity,1772,0001513,9970,0080656
1422,Dyscalculia,1772,0002442,12568,0080656
1423,Scoliosis,1772,0002650,0060249,0080656
1424,Male infertility,1772,0003251,12336,0080656
1425,Hyperpituitarism,1772,0010514,2444,0080656
1426,Azoospermia,90797,0000027,14227,0080776
1427,Cryptorchidism,90797,0000028,11383,0080776
1428,Hypospadias,90797,0000047,10892,0080776
1429,Amenorrhea,90797,0000141,13938,0080776
1430,Gynecomastia,90797,0000771,12698,0080776
1431,Infertility,90797,0000789,5223,0080776
1432,Male infertility,90797,0003251,12336,0080776
1433,Hyperpituitarism,90797,0010514,2444,0080776
1434,Cryptorchidism,235,0000028,11383,14796
1436,Hypospadias,235,0000047,10892,14796
1438,Hydronephrosis,235,0000126,11111,14796
1440,Cleft palate,235,0000175,674,14796
1442,Hydrocephalus,235,0000238,10908,14796
1444,Microcephaly,235,0000252,10907,14796
1446,Strabismus,235,0000486,540,14796
1448,Ptosis,235,0000508,0060260,14796
1450,Cataract,235,0000518,83,14796
1452,Myopia,235,0000545,11830,14796
1454,Blepharophimosis,235,0000581,10348,14796
1456,Hypoparathyroidism,235,0000829,11199,14796
1458,Brachydactyly,235,0001156,0050581,14796
1460,Syndactyly,235,0001159,11193,14796
1462,Intellectual disability,235,0001249,1059,14796
1464,Craniosynostosis,235,0001363,2340,14796
1466,Thrombocytopenia,235,0001873,1588,14796
1468,Anemia,235,0001903,2355,14796
1470,Leukemia,235,0001909,1240,14796
1472,Diarrhea,235,0002014,13250,14796
1474,Rectal prolapse,235,0002035,9307,14796
1476,Asthma,235,0002099,2841,14796
1478,Spina bifida,235,0002414,0080016,14796
1480,Acute leukemia,235,0002488,12603,14796
1482,Scoliosis,235,0002650,0060249,14796
1484,Lymphoma,235,0002665,0060058,14796
1486,Spina bifida occulta,235,0003298,0080073,14796
1488,Acute lymphoblastic leukemia,235,0006721,9952,14796
1490,Attention deficit hyperactivity disorder,235,0007018,1094,14796
1492,Neural tube defect,235,0045005,0080074,14796
1494,Cryptorchidism,478,0000028,11383,3614
1516,Hypogonadotropic hypogonadism,478,0000044,0090070,3614
1538,Renal agenesis,478,0000104,14766,3614
1560,Hypogonadism,478,0000135,1924,3614
1582,Amenorrhea,478,0000141,13938,3614
1604,Cleft palate,478,0000175,674,3614
1626,Ptosis,478,0000508,0060260,3614
1648,Gynecomastia,478,0000771,12698,3614
1670,Obesity,478,0001513,9970,3614
1692,Hypopituitarism,478,0040075,9406,3614
1714,Ichthyosis,478,0008064,1697,3614
1736,Tooth agenesis,478,0009804,0050591,3614
1758,Paraplegia,478,0010550,607,3614
1780,Cryptorchidism,2052,0000028,11383,0090001
1783,Hypospadias,2052,0000047,10892,0090001
1786,Renal hypoplasia,2052,0000089,0080204,0090001
1789,Microcephaly,2052,0000252,10907,0090001
1792,Cleft lip,2052,0410030,9296,0090001
1795,Microphthalmia,2052,0000568,10629,0090001
1798,Blindness,2052,0000618,1432,0090001
1801,Syndactyly,2052,0001159,11193,0090001
1804,Intellectual disability,2052,0001249,1059,0090001
1807,Umbilical hernia,2052,0001537,0060321,0090001
1810,Omphalocele,2052,0001539,0060327,0090001
1813,Spina bifida,2052,0002414,0080016,0090001
1816,Meningocele,2052,0002435,1088,0090001
1819,Myelomeningocele,2052,0002475,0060326,0090001
1822,Tracheal stenosis,2052,0002777,3227,0090001
1825,Neural tube defect,2052,0045005,0080074,0090001
1828,Cryptorchidism,2473,0000028,11383,0111255
1829,Hypospadias,2473,0000047,10892,0111255
1830,Hydronephrosis,2473,0000126,11111,0111255
1831,Cleft palate,2473,0000175,674,0111255
1832,Urethral obstruction,2473,0000796,12577,0111255
1833,Brachydactyly,2473,0001156,0050581,0111255
1834,Syndactyly,2473,0001159,11193,0111255
1835,Intellectual disability,2473,0001249,1059,0111255
1836,Ventricular septal defect,2473,0001629,1657,0111255
1837,Tetralogy of Fallot,2473,0001636,6419,0111255
1838,Patent ductus arteriosus,2473,0001643,13832,0111255
1839,Polydactyly,2473,0010442,1148,0111255
1840,Urethral stricture,2473,0012227,1829,0111255
1841,Cryptorchidism,1465,0000028,11383,1925
1852,Hypospadias,1465,0000047,10892,1925
1863,Microcephaly,1465,0000252,10907,1925
1874,Strabismus,1465,0000486,540,1925
1885,Ptosis,1465,0000508,0060260,1925
1896,Myopia,1465,0000545,11830,1925
1907,Hypertrichosis,1465,0000998,420,1925
1918,Intellectual disability,1465,0001249,1059,1925
1929,Cerebellar hypoplasia,1465,0001321,0070338,1925
