,HPO_ID,hpo,node_id,node_name,HPO_LABEL,disease_id,OMIM,DOID
59,HP:0000767,Pectus excavatum,C0016842,Pectus excavatum,Pectus excavatum,OMIM:601321,601321,0111683
60,HP:0002650,Scoliosis,C0036439,Scoliosis,Scoliosis,OMIM:601321,601321,0111683
61,HP:0002650,Scoliosis,DOID:0060249,scoliosis,Scoliosis,OMIM:601321,601321,0111683
62,HP:0009733,Glioma,C0017638,Glioma,Glioma,OMIM:601321,601321,0111683
63,HP:0001631,Atrial septal defect,C0018817,Atrial septal defect,Atrial septal defect,OMIM:601321,601321,0111683
64,HP:0001324,Muscle weakness,D018908,Muscle Weakness,Muscle weakness,OMIM:601321,601321,0111683
65,HP:0000369,Low-set ears,C0239234,Low set ears,Low-set ears,OMIM:601321,601321,0111683
66,HP:0009732,Plexiform neurofibroma,DOID:5151,plexiform neurofibroma,Plexiform neurofibroma,OMIM:601321,601321,0111683
67,HP:0009734,Optic nerve glioma,DOID:4992,optic nerve glioma,Optic nerve glioma,OMIM:601321,601321,0111683
68,HP:0100242,Sarcoma,C1261473,Sarcoma,Sarcoma,OMIM:601321,601321,0111683
69,HP:0100242,Sarcoma,DOID:1115,sarcoma,Sarcoma,OMIM:601321,601321,0111683
70,HP:0010566,Hamartoma,C0018552,Hamartoma,Hamartoma,OMIM:601321,601321,0111683
71,HP:0002664,Neoplasm,C0027651,Neoplasm,Neoplasm,OMIM:601321,601321,0111683
72,HP:0000508,Ptosis,DOID:0060260,ptosis,Ptosis,OMIM:601321,601321,0111683
73,HP:0001249,Intellectual disability,DOID:1059,intellectual disability,Intellectual disability,OMIM:601321,601321,0111683
74,HP:0001249,Intellectual disability,D008607,Intellectual Disability,Intellectual disability,OMIM:601321,601321,0111683
75,HP:0012733,Macule,C0332573,Macule,Macule,OMIM:601321,601321,0111683
76,HP:0000957,Cafe-au-lait spot,D019080,Cafe-au-Lait Spots,Cafe-au-lait spot,OMIM:601321,601321,0111683
77,HP:0030061,Neuroectodermal neoplasm,C0206093,Neuroectodermal neoplasm,Neuroectodermal neoplasm,OMIM:601321,601321,0111683
78,HP:0010614,Fibroma,C0016045,Fibroma,Fibroma,OMIM:601321,601321,0111683
79,HP:0010614,Fibroma,DOID:0050871,fibroma,Fibroma,OMIM:601321,601321,0111683
80,HP:0000028,Cryptorchidism,DOID:11383,cryptorchidism,Cryptorchidism,OMIM:601321,601321,0111683
81,HP:0003006,Neuroblastoma,DOID:769,neuroblastoma,Neuroblastoma,OMIM:601321,601321,0111683
82,HP:0004409,Hyposmia,C2364082,Hyposmia,Hyposmia,OMIM:615267,615267,0090076
83,HP:0000938,Osteopenia,C0029453,Osteopenia,Osteopenia,OMIM:615267,615267,0090076
84,HP:0000135,Hypogonadism,C0020619,Hypogonadism,Hypogonadism,OMIM:615267,615267,0090076
85,HP:0000135,Hypogonadism,DOID:1924,hypogonadism,Hypogonadism,OMIM:615267,615267,0090076
86,HP:0000939,Osteoporosis,C0029456,Osteoporosis,Osteoporosis,OMIM:615267,615267,0090076
87,HP:0000939,Osteoporosis,DOID:11476,osteoporosis,Osteoporosis,OMIM:615267,615267,0090076
88,HP:0000458,Anosmia,C0003126,Anosmia,Anosmia,OMIM:615267,615267,0090076
89,HP:0004409,Hyposmia,C2364082,Hyposmia,Hyposmia,OMIM:611755,611755,0110291
90,HP:0000505,Visual impairment,C3665347,Visual impairment,Visual impairment,OMIM:611755,611755,0110291
91,HP:0004409,Hyposmia,C2364082,Hyposmia,Hyposmia,OMIM:612702,612702,0090086
92,HP:0410030,Cleft lip,C0008924,Cleft lip,Cleft lip,OMIM:612702,612702,0090086
93,HP:0410030,Cleft lip,DOID:9296,cleft lip,Cleft lip,OMIM:612702,612702,0090086
94,HP:0000141,Amenorrhea,DOID:13938,amenorrhea,Amenorrhea,OMIM:612702,612702,0090086
95,HP:0000135,Hypogonadism,C0020619,Hypogonadism,Hypogonadism,OMIM:612702,612702,0090086
96,HP:0000135,Hypogonadism,DOID:1924,hypogonadism,Hypogonadism,OMIM:612702,612702,0090086
97,HP:0000044,Hypogonadotropic hypogonadism,DOID:0090070,hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism,OMIM:612702,612702,0090086
98,HP:0000458,Anosmia,C0003126,Anosmia,Anosmia,OMIM:612702,612702,0090086
99,HP:0000028,Cryptorchidism,DOID:11383,cryptorchidism,Cryptorchidism,OMIM:612702,612702,0090086
100,HP:0004409,Hyposmia,C2364082,Hyposmia,Hyposmia,OMIM:615996,615996,0110141
101,HP:0010442,Polydactyly,C0152427,Polydactyly,Polydactyly,OMIM:615996,615996,0110141
102,HP:0010442,Polydactyly,DOID:1148,polydactyly,Polydactyly,OMIM:615996,615996,0110141
103,HP:0000135,Hypogonadism,C0020619,Hypogonadism,Hypogonadism,OMIM:615996,615996,0110141
104,HP:0000135,Hypogonadism,DOID:1924,hypogonadism,Hypogonadism,OMIM:615996,615996,0110141
105,HP:0001513,Obesity,C0028754,Obesity,Obesity,OMIM:615996,615996,0110141
106,HP:0001513,Obesity,D009765,Obesity,Obesity,OMIM:615996,615996,0110141
107,HP:0001513,Obesity,DOID:9970,obesity,Obesity,OMIM:615996,615996,0110141
108,HP:0001249,Intellectual disability,DOID:1059,intellectual disability,Intellectual disability,OMIM:615996,615996,0110141
109,HP:0001249,Intellectual disability,D008607,Intellectual Disability,Intellectual disability,OMIM:615996,615996,0110141
110,HP:0004409,Hyposmia,C2364082,Hyposmia,Hyposmia,OMIM:614838,614838,0090085
111,HP:0000175,Cleft palate,C0008925,Cleft palate,Cleft palate,OMIM:614838,614838,0090085
112,HP:0000175,Cleft palate,DOID:674,cleft palate,Cleft palate,OMIM:614838,614838,0090085
113,HP:0410030,Cleft lip,C0008924,Cleft lip,Cleft lip,OMIM:614838,614838,0090085
114,HP:0410030,Cleft lip,DOID:9296,cleft lip,Cleft lip,OMIM:614838,614838,0090085
115,HP:0000771,Gynecomastia,DOID:12698,gynecomastia,Gynecomastia,OMIM:614838,614838,0090085
116,HP:0000771,Gynecomastia,C0018418,Gynaecomastia,Gynecomastia,OMIM:614838,614838,0090085
117,HP:0000135,Hypogonadism,C0020619,Hypogonadism,Hypogonadism,OMIM:614838,614838,0090085
118,HP:0000135,Hypogonadism,DOID:1924,hypogonadism,Hypogonadism,OMIM:614838,614838,0090085
119,HP:0000044,Hypogonadotropic hypogonadism,DOID:0090070,hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism,OMIM:614838,614838,0090085
120,HP:0000939,Osteoporosis,C0029456,Osteoporosis,Osteoporosis,OMIM:614838,614838,0090085
121,HP:0000939,Osteoporosis,DOID:11476,osteoporosis,Osteoporosis,OMIM:614838,614838,0090085
122,HP:0000458,Anosmia,C0003126,Anosmia,Anosmia,OMIM:614838,614838,0090085
123,HP:0004409,Hyposmia,C2364082,Hyposmia,Hyposmia,OMIM:606693,606693,0060556
124,HP:0002015,Dysphagia,C0011168,Dysphagia,Dysphagia,OMIM:606693,606693,0060556
125,HP:0001260,Dysarthria,C0013362,Dysarthria,Dysarthria,OMIM:606693,606693,0060556
126,HP:0001260,Dysarthria,D004401,Dysarthria,Dysarthria,OMIM:606693,606693,0060556
127,HP:0000738,Hallucinations,D006212,Hallucinations,Hallucinations,OMIM:606693,606693,0060556
128,HP:0000738,Hallucinations,C0018524,Hallucination,Hallucinations,OMIM:606693,606693,0060556
129,HP:0002304,Akinesia,C0085623,Akinesia,Akinesia,OMIM:606693,606693,0060556
130,HP:0100543,Cognitive impairment,C0338656,Cognitive impairment,Cognitive impairment,OMIM:606693,606693,0060556
131,HP:0001276,Hypertonia,C0026826,Hypertonia,Hypertonia,OMIM:606693,606693,0060556
132,HP:0001288,Gait disturbance,C0575081,Gait disturbance,Gait disturbance,OMIM:606693,606693,0060556
133,HP:0000725,Psychotic episodes,C0338614,Psychotic episode,Psychotic episodes,OMIM:606693,606693,0060556
134,HP:0000726,Dementia,C0497327,Dementia,Dementia,OMIM:606693,606693,0060556
135,HP:0000726,Dementia,DOID:1307,dementia,Dementia,OMIM:606693,606693,0060556
136,HP:0001300,Parkinsonism,C0242422,Parkinsonism,Parkinsonism,OMIM:606693,606693,0060556
137,HP:0001300,Parkinsonism,DOID:0080855,Parkinsonism,Parkinsonism,OMIM:606693,606693,0060556
138,HP:0004373,Focal dystonia,DOID:0050836,focal dystonia,Focal dystonia,OMIM:606693,606693,0060556
139,HP:0001332,Dystonia,C0393593,Dystonia,Dystonia,OMIM:606693,606693,0060556
140,HP:0001332,Dystonia,D004421,Dystonia,Dystonia,OMIM:606693,606693,0060556
141,HP:0001332,Dystonia,DOID:543,dystonia,Dystonia,OMIM:606693,606693,0060556
142,HP:0012378,Fatigue,C0015672,Fatigue,Fatigue,OMIM:606693,606693,0060556
143,HP:0012378,Fatigue,D005221,Fatigue,Fatigue,OMIM:606693,606693,0060556
144,HP:0001251,Ataxia,C0004134,Ataxia,Ataxia,OMIM:606693,606693,0060556
145,HP:0001251,Ataxia,D001259,Ataxia,Ataxia,OMIM:606693,606693,0060556
146,HP:0012179,Craniofacial dystonia,DOID:0050845,cranio-facial dystonia,Craniofacial dystonia,OMIM:606693,606693,0060556
147,HP:0001249,Intellectual disability,DOID:1059,intellectual disability,Intellectual disability,OMIM:606693,606693,0060556
148,HP:0001249,Intellectual disability,D008607,Intellectual Disability,Intellectual disability,OMIM:606693,606693,0060556
149,HP:0001336,Myoclonus,C0027066,Myoclonus,Myoclonus,OMIM:606693,606693,0060556
150,HP:0001336,Myoclonus,D009207,Myoclonus,Myoclonus,OMIM:606693,606693,0060556
151,HP:0003552,Muscle stiffness,C0221170,Muscle stiffness,Muscle stiffness,OMIM:606693,606693,0060556
152,HP:0001347,Hyperreflexia,C0151889,Hyperreflexia,Hyperreflexia,OMIM:606693,606693,0060556
153,HP:0000473,Torticollis,C0040485,Torticollis,Torticollis,OMIM:606693,606693,0060556
154,HP:0000473,Torticollis,D014103,Torticollis,Torticollis,OMIM:606693,606693,0060556
155,HP:0010550,Paraplegia,C0030486,Paraplegia,Paraplegia,OMIM:606693,606693,0060556
156,HP:0010550,Paraplegia,D010264,Paraplegia,Paraplegia,OMIM:606693,606693,0060556
157,HP:0010550,Paraplegia,DOID:607,paraplegia,Paraplegia,OMIM:606693,606693,0060556
158,HP:0002385,Paraparesis,C0221166,Paraparesis,Paraparesis,OMIM:606693,606693,0060556
159,HP:0002385,Paraparesis,D020335,Paraparesis,Paraparesis,OMIM:606693,606693,0060556
160,HP:0002375,Hypokinesia,C0086439,Hypokinesia,Hypokinesia,OMIM:606693,606693,0060556
161,HP:0002375,Hypokinesia,D018476,Hypokinesia,Hypokinesia,OMIM:606693,606693,0060556
162,HP:0001337,Tremor,C0040822,Tremor,Tremor,OMIM:606693,606693,0060556
163,HP:0001337,Tremor,D014202,Tremor,Tremor,OMIM:606693,606693,0060556
164,HP:0000458,Anosmia,C0003126,Anosmia,Anosmia,OMIM:606693,606693,0060556
165,HP:0002067,Bradykinesia,C0233565,Bradykinesia,Bradykinesia,OMIM:606693,606693,0060556
166,HP:0004409,Hyposmia,C2364082,Hyposmia,Hyposmia,OMIM:614897,614897,0090080
167,HP:0000141,Amenorrhea,DOID:13938,amenorrhea,Amenorrhea,OMIM:614897,614897,0090080
168,HP:0000027,Azoospermia,C0004509,Azoospermia,Azoospermia,OMIM:614897,614897,0090080
169,HP:0000027,Azoospermia,DOID:14227,azoospermia,Azoospermia,OMIM:614897,614897,0090080
170,HP:0000458,Anosmia,C0003126,Anosmia,Anosmia,OMIM:614897,614897,0090080
171,HP:0000028,Cryptorchidism,DOID:11383,cryptorchidism,Cryptorchidism,OMIM:614897,614897,0090080
172,HP:0004409,Hyposmia,C2364082,Hyposmia,Hyposmia,OMIM:308700,308700,0090094
173,HP:0000771,Gynecomastia,DOID:12698,gynecomastia,Gynecomastia,OMIM:308700,308700,0090094
174,HP:0000771,Gynecomastia,C0018418,Gynaecomastia,Gynecomastia,OMIM:308700,308700,0090094
175,HP:0001251,Ataxia,C0004134,Ataxia,Ataxia,OMIM:308700,308700,0090094
176,HP:0001251,Ataxia,D001259,Ataxia,Ataxia,OMIM:308700,308700,0090094
177,HP:0000027,Azoospermia,C0004509,Azoospermia,Azoospermia,OMIM:308700,308700,0090094
178,HP:0000027,Azoospermia,DOID:14227,azoospermia,Azoospermia,OMIM:308700,308700,0090094
179,HP:0000135,Hypogonadism,C0020619,Hypogonadism,Hypogonadism,OMIM:308700,308700,0090094
180,HP:0000135,Hypogonadism,DOID:1924,hypogonadism,Hypogonadism,OMIM:308700,308700,0090094
181,HP:0000029,Testicular atrophy,C0156312,Testicular atrophy,Testicular atrophy,OMIM:308700,308700,0090094
182,HP:0000044,Hypogonadotropic hypogonadism,DOID:0090070,hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism,OMIM:308700,308700,0090094
183,HP:0000104,Renal agenesis,C0542519,Renal agenesis,Renal agenesis,OMIM:308700,308700,0090094
184,HP:0000104,Renal agenesis,DOID:14766,renal agenesis,Renal agenesis,OMIM:308700,308700,0090094
185,HP:0000458,Anosmia,C0003126,Anosmia,Anosmia,OMIM:308700,308700,0090094
186,HP:0000028,Cryptorchidism,DOID:11383,cryptorchidism,Cryptorchidism,OMIM:308700,308700,0090094
187,HP:0001386,Joint swelling,C0152031,Joint swelling,Joint swelling,OMIM:228000,228000,0050464
188,HP:0002240,Hepatomegaly,C0019209,Hepatomegaly,Hepatomegaly,OMIM:228000,228000,0050464
189,HP:0001369,Arthritis,C0003864,Arthritis,Arthritis,OMIM:228000,228000,0050464
190,HP:0001369,Arthritis,DOID:848,arthritis,Arthritis,OMIM:228000,228000,0050464
191,HP:0001508,Failure to thrive,C0015544,Failure to thrive,Failure to thrive,OMIM:228000,228000,0050464
192,HP:0001508,Failure to thrive,D005183,Failure to Thrive,Failure to thrive,OMIM:228000,228000,0050464
193,HP:0001482,Subcutaneous nodule,C0151811,Subcutaneous nodule,Subcutaneous nodule,OMIM:228000,228000,0050464
194,HP:0200036,Skin nodule,C0037287,Skin nodule,Skin nodule,OMIM:228000,228000,0050464
195,HP:0001744,Splenomegaly,C0038002,Splenomegaly,Splenomegaly,OMIM:228000,228000,0050464
196,HP:0001249,Intellectual disability,DOID:1059,intellectual disability,Intellectual disability,OMIM:228000,228000,0050464
197,HP:0001249,Intellectual disability,D008607,Intellectual Disability,Intellectual disability,OMIM:228000,228000,0050464
198,HP:0002093,Respiratory insufficiency,C0035229,Respiratory insufficiency,Respiratory insufficiency,OMIM:228000,228000,0050464
199,HP:0000969,Edema,D004487,Edema,Edema,OMIM:228000,228000,0050464
200,HP:0000737,Irritability,C0022107,Irritability,Irritability,OMIM:228000,228000,0050464
201,HP:0001386,Joint swelling,C0152031,Joint swelling,Joint swelling,OMIM:186580,186580,0050678
202,HP:0007957,Corneal opacity,C0010038,Corneal opacity,Corneal opacity,OMIM:186580,186580,0050678
203,HP:0011505,Cystoid macular edema,DOID:4447,cystoid macular edema,Cystoid macular edema,OMIM:186580,186580,0050678
204,HP:0011505,Cystoid macular edema,C0024440,Cystoid macular oedema,Cystoid macular edema,OMIM:186580,186580,0050678
205,HP:0000501,Glaucoma,C0017601,Glaucoma,Glaucoma,OMIM:186580,186580,0050678
206,HP:0000501,Glaucoma,DOID:1686,glaucoma,Glaucoma,OMIM:186580,186580,0050678
207,HP:0000822,Hypertension,C0020538,Hypertension,Hypertension,OMIM:186580,186580,0050678
208,HP:0000822,Hypertension,DOID:10763,hypertension,Hypertension,OMIM:186580,186580,0050678
209,HP:0001701,Pericarditis,C0031046,Pericarditis,Pericarditis,OMIM:186580,186580,0050678
210,HP:0001701,Pericarditis,DOID:1787,pericarditis,Pericarditis,OMIM:186580,186580,0050678
211,HP:0001369,Arthritis,C0003864,Arthritis,Arthritis,OMIM:186580,186580,0050678
212,HP:0001369,Arthritis,DOID:848,arthritis,Arthritis,OMIM:186580,186580,0050678
213,HP:0000585,Band keratopathy,DOID:11164,band keratopathy,Band keratopathy,OMIM:186580,186580,0050678
214,HP:0000518,Cataract,C0086543,Cataract,Cataract,OMIM:186580,186580,0050678
215,HP:0000518,Cataract,DOID:83,cataract,Cataract,OMIM:186580,186580,0050678
216,HP:0001101,Iritis,C0022081,Iritis,Iritis,OMIM:186580,186580,0050678
217,HP:0001101,Iritis,DOID:1406,iritis,Iritis,OMIM:186580,186580,0050678
218,HP:0100769,Synovitis,C0039103,Synovitis,Synovitis,OMIM:186580,186580,0050678
219,HP:0100769,Synovitis,DOID:2703,synovitis,Synovitis,OMIM:186580,186580,0050678
220,HP:0200042,Skin ulcer,C0037299,Skin ulcer,Skin ulcer,OMIM:186580,186580,0050678
221,HP:0012219,Erythema nodosum,C0014743,Erythema nodosum,Erythema nodosum,OMIM:186580,186580,0050678
222,HP:0012219,Erythema nodosum,DOID:0080750,erythema nodosum,Erythema nodosum,OMIM:186580,186580,0050678
223,HP:0200034,Papule,C0332563,Papule,Papule,OMIM:186580,186580,0050678
224,HP:0000964,Eczema,C0013595,Eczema,Eczema,OMIM:186580,186580,0050678
225,HP:0040049,Macular edema,C0271051,Macular oedema,Macular edema,OMIM:186580,186580,0050678
226,HP:0045073,Serositis,C0036749,Serositis,Serositis,OMIM:186580,186580,0050678
227,HP:0000969,Edema,D004487,Edema,Edema,OMIM:186580,186580,0050678
228,HP:0025230,Tendonitis,C0039503,Tendonitis,Tendonitis,OMIM:186580,186580,0050678
229,HP:0000554,Uveitis,C0042164,Uveitis,Uveitis,OMIM:186580,186580,0050678
230,HP:0000554,Uveitis,DOID:13141,uveitis,Uveitis,OMIM:186580,186580,0050678
231,HP:0000966,Hypohidrosis,C0020620,Hypohidrosis,Hypohidrosis,OMIM:268800,268800,3323
232,HP:0000966,Hypohidrosis,DOID:11155,hypohidrosis,Hypohidrosis,OMIM:268800,268800,3323
233,HP:0001260,Dysarthria,C0013362,Dysarthria,Dysarthria,OMIM:268800,268800,3323
234,HP:0001260,Dysarthria,D004401,Dysarthria,Dysarthria,OMIM:268800,268800,3323
235,HP:0002240,Hepatomegaly,C0019209,Hepatomegaly,Hepatomegaly,OMIM:268800,268800,3323
236,HP:0000505,Visual impairment,C3665347,Visual impairment,Visual impairment,OMIM:268800,268800,3323
237,HP:0002615,Hypotension,C0020649,Hypotension,Hypotension,OMIM:268800,268800,3323
238,HP:0100543,Cognitive impairment,C0338656,Cognitive impairment,Cognitive impairment,OMIM:268800,268800,3323
239,HP:0001252,Hypotonia,C0026827,Hypotonia,Hypotonia,OMIM:268800,268800,3323
240,HP:0001276,Hypertonia,C0026826,Hypertonia,Hypertonia,OMIM:268800,268800,3323
241,HP:0012531,Pain,C0030193,Pain,Pain,OMIM:268800,268800,3323
242,HP:0012531,Pain,D010146,Pain,Pain,OMIM:268800,268800,3323
243,HP:0000618,Blindness,C0456909,Blindness,Blindness,OMIM:268800,268800,3323
244,HP:0000618,Blindness,D001766,Blindness,Blindness,OMIM:268800,268800,3323
245,HP:0000618,Blindness,DOID:1432,blindness,Blindness,OMIM:268800,268800,3323
246,HP:0001324,Muscle weakness,D018908,Muscle Weakness,Muscle weakness,OMIM:268800,268800,3323
247,HP:0001278,Orthostatic hypotension,C0020651,Orthostatic hypotension,Orthostatic hypotension,OMIM:268800,268800,3323
248,HP:0100639,Erectile dysfunction,C0242350,Erectile dysfunction,Erectile dysfunction,OMIM:268800,268800,3323
249,HP:0011458,Abdominal symptom,C0740651,Abdominal symptom,Abdominal symptom,OMIM:268800,268800,3323
250,HP:0002028,Chronic diarrhea,C0401151,Chronic diarrhea,Chronic diarrhea,OMIM:268800,268800,3323
251,HP:0001251,Ataxia,C0004134,Ataxia,Ataxia,OMIM:268800,268800,3323
252,HP:0001251,Ataxia,D001259,Ataxia,Ataxia,OMIM:268800,268800,3323
253,HP:0002014,Diarrhea,DOID:13250,diarrhea,Diarrhea,OMIM:268800,268800,3323
254,HP:0002014,Diarrhea,D003967,Diarrhea,Diarrhea,OMIM:268800,268800,3323
255,HP:0001640,Cardiomegaly,C0018800,Cardiomegaly,Cardiomegaly,OMIM:268800,268800,3323
256,HP:0002380,Fasciculations,C0015644,Fasciculation,Fasciculations,OMIM:268800,268800,3323
257,HP:0002380,Fasciculations,D005207,Fasciculation,Fasciculations,OMIM:268800,268800,3323
258,HP:0000802,Impotence,DOID:1875,impotence,Impotence,OMIM:268800,268800,3323
259,HP:0002027,Abdominal pain,C0000737,Abdominal pain,Abdominal pain,OMIM:268800,268800,3323
260,HP:0002027,Abdominal pain,D015746,Abdominal Pain,Abdominal pain,OMIM:268800,268800,3323
261,HP:0001433,Hepatosplenomegaly,C0019214,Hepatosplenomegaly,Hepatosplenomegaly,OMIM:268800,268800,3323
262,HP:0001347,Hyperreflexia,C0151889,Hyperreflexia,Hyperreflexia,OMIM:268800,268800,3323
263,HP:0000975,Hyperhidrosis,C0020458,Hyperhidrosis,Hyperhidrosis,OMIM:268800,268800,3323
264,HP:0040307,Male sexual dysfunction,C1112443,Male sexual dysfunction,Male sexual dysfunction,OMIM:268800,268800,3323
265,HP:0040307,Male sexual dysfunction,C1112442,Female sexual dysfunction,Male sexual dysfunction,OMIM:268800,268800,3323
266,HP:0000020,Urinary incontinence,C0042024,Urinary incontinence,Urinary incontinence,OMIM:268800,268800,3323
267,HP:0000020,Urinary incontinence,D014549,Urinary Incontinence,Urinary incontinence,OMIM:268800,268800,3323
268,HP:0000966,Hypohidrosis,C0020620,Hypohidrosis,Hypohidrosis,OMIM:612783,612783,0111970
269,HP:0000966,Hypohidrosis,DOID:11155,hypohidrosis,Hypohidrosis,OMIM:612783,612783,0111970
270,HP:0001945,Fever,D005334,Fever,Fever,OMIM:612783,612783,0111970
271,HP:0001252,Hypotonia,C0026827,Hypotonia,Hypotonia,OMIM:612783,612783,0111970
272,HP:0003198,Myopathy,C0026848,Myopathy,Myopathy,OMIM:612783,612783,0111970
273,HP:0003198,Myopathy,DOID:423,myopathy,Myopathy,OMIM:612783,612783,0111970
274,HP:0001873,Thrombocytopenia,C0040034,Thrombocytopenia,Thrombocytopenia,OMIM:612783,612783,0111970
275,HP:0001873,Thrombocytopenia,DOID:1588,thrombocytopenia,Thrombocytopenia,OMIM:612783,612783,0111970
276,HP:0002716,Lymphadenopathy,C0497156,Lymphadenopathy,Lymphadenopathy,OMIM:612783,612783,0111970
277,HP:0002664,Neoplasm,C0027651,Neoplasm,Neoplasm,OMIM:612783,612783,0111970
278,HP:0001878,Hemolytic anemia,DOID:583,hemolytic anemia,Hemolytic anemia,OMIM:612783,612783,0111970
279,HP:0002721,Immunodeficiency,C0021051,Immunodeficiency,Immunodeficiency,OMIM:612783,612783,0111970
280,HP:0001903,Anemia,DOID:2355,anemia,Anemia,OMIM:612783,612783,0111970
281,HP:0100726,Kaposi's sarcoma,C0036220,Kaposi's sarcoma,Kaposi's sarcoma,OMIM:612783,612783,0111970
282,HP:0100726,Kaposi's sarcoma,DOID:8632,Kaposi's sarcoma,Kaposi's sarcoma,OMIM:612783,612783,0111970
283,HP:0002719,Recurrent infections,C0239998,Recurrent infection,Recurrent infections,OMIM:612783,612783,0111970
284,HP:0000705,Amelogenesis imperfecta,DOID:2187,amelogenesis imperfecta,Amelogenesis imperfecta,OMIM:612783,612783,0111970
285,HP:0001890,Autoimmune hemolytic anemia,DOID:718,autoimmune hemolytic anemia,Autoimmune hemolytic anemia,OMIM:612783,612783,0111970
286,HP:0001890,Autoimmune hemolytic anemia,C0002880,Autoimmune haemolytic anaemia,Autoimmune hemolytic anemia,OMIM:612783,612783,0111970
287,HP:0000966,Hypohidrosis,C0020620,Hypohidrosis,Hypohidrosis,OMIM:614576,614576,0070264
288,HP:0000966,Hypohidrosis,DOID:11155,hypohidrosis,Hypohidrosis,OMIM:614576,614576,0070264
289,HP:0002059,Cerebral atrophy,C0235946,Cerebral atrophy,Cerebral atrophy,OMIM:614576,614576,0070264
290,HP:0002240,Hepatomegaly,C0019209,Hepatomegaly,Hepatomegaly,OMIM:614576,614576,0070264
291,HP:0001876,Pancytopenia,C0030312,Pancytopenia,Pancytopenia,OMIM:614576,614576,0070264
292,HP:0001876,Pancytopenia,DOID:12450,pancytopenia,Pancytopenia,OMIM:614576,614576,0070264
293,HP:0010442,Polydactyly,C0152427,Polydactyly,Polydactyly,OMIM:614576,614576,0070264
294,HP:0010442,Polydactyly,DOID:1148,polydactyly,Polydactyly,OMIM:614576,614576,0070264
295,HP:0001252,Hypotonia,C0026827,Hypotonia,Hypotonia,OMIM:614576,614576,0070264
296,HP:0001631,Atrial septal defect,C0018817,Atrial septal defect,Atrial septal defect,OMIM:614576,614576,0070264
297,HP:0001272,Cerebellar atrophy,C0740279,Cerebellar atrophy,Cerebellar atrophy,OMIM:614576,614576,0070264
298,HP:0000238,Hydrocephalus,C0020255,Hydrocephalus,Hydrocephalus,OMIM:614576,614576,0070264
299,HP:0000238,Hydrocephalus,DOID:10908,hydrocephalus,Hydrocephalus,OMIM:614576,614576,0070264
300,HP:0000962,Hyperkeratosis,C0870082,Hyperkeratosis,Hyperkeratosis,OMIM:614576,614576,0070264
301,HP:0001629,Ventricular septal defect,C0018818,Ventricular septal defect,Ventricular septal defect,OMIM:614576,614576,0070264
302,HP:0001629,Ventricular septal defect,DOID:1657,ventricular septal defect,Ventricular septal defect,OMIM:614576,614576,0070264
303,HP:0001873,Thrombocytopenia,C0040034,Thrombocytopenia,Thrombocytopenia,OMIM:614576,614576,0070264
