,HPO_LABEL,ORPHA,HPO,MESH,DOID
184,Acidosis,358,0001941,D000138,0050450
186,Ketosis,358,0001946,D007662,0050450
188,Alkalosis,358,0001948,D000471,0050450
190,Glucose intolerance,358,0001952,D018149,0050450
192,Diabetic ketoacidosis,358,0001953,D016883,0050450
194,Polydipsia,358,0001959,D059606,0050450
196,Gout,358,0001997,D006073,0050450
198,Diarrhea,358,0002014,D003967,0050450
200,Constipation,358,0002019,D003248,0050450
202,Abdominal pain,358,0002027,D015746,0050450
204,Dyspnea,358,0002094,D004417,0050450
206,Headache,358,0002315,D006261,0050450
208,Vertigo,358,0002321,D014717,0050450
210,Graves disease,358,0100647,D006111,0050450
212,Thyroiditis,358,0100646,D013966,0050450
214,Hypotension,358,0002615,D007022,0050450
216,Varicose veins,358,0002619,D014648,0050450
218,Arthralgia,358,0002829,D018771,0050450
220,Hypokalemia,358,0002900,D007008,0050450
222,Hypocalcemia,358,0002901,D006996,0050450
224,Autoimmunity,358,0002960,D015551,0050450
226,Rhabdomyolysis,358,0003201,D012206,0050450
228,Myalgia,358,0003326,D063806,0050450
230,Paresthesia,358,0003401,D010292,0050450
232,Paralysis,358,0003470,D010243,0050450
234,Venous insufficiency,358,0005293,D014689,0050450
236,Mitochondrial encephalopathy,358,0006789,C538525,0050450
238,Pain,358,0012531,D010146,0050450
240,Nocturia,230,0000017,D053158,0090145
241,Insulin resistance,230,0000855,D007333,0090145
242,Syncope,230,0001279,D013575,0090145
243,Anemia,230,0001903,D000740,0090145
244,Hypoglycemia,230,0001943,D007003,0090145
245,Dehydration,230,0001944,D003681,0090145
246,Vomiting,230,0002013,D014839,0090145
247,Diarrhea,230,0002014,D003967,0090145
248,Hypothermia,230,0002045,D007035,0090145
249,Dyspnea,230,0002094,D004417,0090145
250,Azotemia,230,0002157,D053099,0090145
251,Vertigo,230,0002321,D014717,0090145
252,Chest pain,230,0100749,D002637,0090145
253,Hypotension,230,0002615,D007022,0090145
254,Fatigue,230,0012378,D005221,0090145
255,Rhinitis,230,0012384,D012220,0090145
256,Pain,230,0012531,D010146,0090145
257,Urinary incontinence,306674,0000020,D014549,0060556
258,Blepharospasm,306674,0000643,D001764,0060556
259,Dementia,306674,0000726,D003704,0060556
260,Hallucinations,306674,0000738,D006212,0060556
261,Apathy,306674,0000741,D057565,0060556
262,Lethargy,306674,0001254,D053609,0060556
263,Dysarthria,306674,0001260,D004401,0060556
264,Confusion,306674,0001289,D003221,0060556
265,Muscle weakness,306674,0001324,D018908,0060556
266,Dystonia,306674,0001332,D004421,0060556
267,Myoclonus,306674,0001336,D009207,0060556
268,Fever,306674,0001945,D005334,0060556
269,Fatigue,306674,0012378,D005221,0060556
270,Urinary incontinence,98784,0000020,D014549,0060681
277,Depression,98784,0000716,D003863,0060681
284,Anxiety,98784,0000739,D001007,0060681
291,Intellectual disability,98784,0001249,D008607,0060681
298,Dystonia,98784,0001332,D004421,0060681
305,Hyperventilation,98784,0002883,D006985,0060681
312,Somnambulism,98784,0025236,D013009,0060681
319,Suicidal ideation,98784,0031589,D059020,0060681
326,Urinary incontinence,98768,0000020,D014549,0050963
327,Torticollis,98768,0000473,D014103,0050963
328,Optic atrophy,98768,0000648,D009896,0050963
329,Intellectual disability,98768,0001249,D008607,0050963
330,Ataxia,98768,0001251,D001259,0050963
331,Dysarthria,98768,0001260,D004401,0050963
332,Dystonia,98768,0001332,D004421,0050963
333,Myoclonus,98768,0001336,D009207,0050963
334,Tremor,98768,0001337,D014202,0050963
335,Gait ataxia,98768,0002066,D020234,0050963
336,Urinary incontinence,98760,0000020,D014549,0050959
338,Depression,98760,0000716,D003863,0050959
340,Ataxia,98760,0001251,D001259,0050959
342,Dysarthria,98760,0001260,D004401,0050959
344,Dystonia,98760,0001332,D004421,0050959
346,Gait ataxia,98760,0002066,D020234,0050959
348,Erectile dysfunction,98760,0100639,D007172,0050959
350,Urinary incontinence,2495,0000020,D014549,3565
362,Hypogonadism,2495,0000135,D007006,3565
374,Amenorrhea,2495,0000141,D000568,3565
386,Hydrocephalus,2495,0000238,D006849,3565
398,Tinnitus,2495,0000360,D014012,3565
410,Neuralgia,2495,0033345,D009437,3565
422,Ophthalmoplegia,2495,0000602,D009886,3565
434,Blindness,2495,0000618,D001766,3565
446,Hypothyroidism,2495,0000821,D007037,3565
458,Adrenal insufficiency,2495,0000846,D000309,3565
470,Papilledema,2495,0001085,D010211,3565
482,Ataxia,2495,0001251,D001259,3565
494,Syncope,2495,0001279,D013575,3565
506,Muscle weakness,2495,0001324,D018908,3565
518,Myoclonus,2495,0001336,D009207,3565
530,Cerebral hemorrhage,2495,0001342,D002543,3565
542,Obesity,2495,0001513,D009765,3565
554,Sarcoma,2495,0100242,D012509,3565
566,Headache,2495,0002315,D006261,3565
578,Erectile dysfunction,2495,0100639,D007172,3565
590,Trigeminal neuralgia,2495,0100661,D014277,3565
602,Meningioma,2495,0002858,D008579,3565
614,Back pain,2495,0003418,D001416,3565
626,Chromosome breakage,2495,0040012,D019457,3565
638,Hypopituitarism,2495,0040075,D007018,3565
650,Hyperpituitarism,2495,0010514,D006964,3565
662,Fibroma,2495,0010614,D005350,3565
674,Hemifacial spasm,2495,0010828,D019569,3565
686,Pain,2495,0012531,D010146,3565
698,Urinary incontinence,169189,0000020,D014549,0111217
703,Cryptorchidism,169189,0000028,D003456,0111217
708,Ophthalmoplegia,169189,0000602,D009886,0111217
713,Hemangioma,169189,0001028,D006391,0111217
718,Muscle weakness,169189,0001324,D018908,0111217
723,Polyhydramnios,169189,0001561,D006831,0111217
728,Pyloric stenosis,169189,0002021,D011707,0111217
733,Malignant hyperthermia,169189,0002047,D008305,0111217
738,Respiratory insufficiency,169189,0002093,D012131,0111217
743,Myalgia,169189,0003326,D063806,0111217
748,Pain,169189,0012531,D010146,0111217
753,Urinary incontinence,64280,0000020,D014549,1825
759,Depression,64280,0000716,D003863,1825
765,Anxiety,64280,0000739,D001007,1825
771,Pallor,64280,0000980,D010167,1825
777,Intellectual disability,64280,0001249,D008607,1825
783,Myoclonus,64280,0001336,D009207,1825
789,Hyperventilation,64280,0002883,D006985,1825
795,Dyslexia,64280,0010522,D004410,1825
801,Urinary incontinence,101085,0000020,D014549,0110149
802,Optic nerve hypoplasia,101085,0000609,D000080344,0110149
803,Ataxia,101085,0001251,D001259,0110149
804,Dysarthria,101085,0001260,D004401,0110149
805,Muscle weakness,101085,0001324,D018908,0110149
806,Tremor,101085,0001337,D014202,0110149
807,Gait ataxia,101085,0002066,D020234,0110149
808,Scoliosis,101085,0002650,D012600,0110149
809,Paresthesia,101085,0003401,D010292,0110149
810,Urinary incontinence,98772,0000020,D014549,0050970
811,Ophthalmoplegia,98772,0000602,D009886,0050970
812,Diplopia,98772,0000651,D004172,0050970
813,Ataxia,98772,0001251,D001259,0050970
814,Dysarthria,98772,0001260,D004401,0050970
815,Urinary incontinence,505216,0000020,D014549,0070002
816,Optic atrophy,505216,0000648,D009896,0070002
817,Intellectual disability,505216,0001249,D008607,0070002
818,Muscle weakness,505216,0001324,D018908,0070002
819,Failure to thrive,505216,0001508,D005183,0070002
820,Acidosis,505216,0001941,D000138,0070002
821,Status epilepticus,505216,0002133,D013226,0070002
822,3-Methylglutaconic aciduria,505216,0003535,C579867,0070002
823,Prostatitis,900,0000024,D011472,12132
828,Renal insufficiency,900,0000083,D051437,12132
833,Proteinuria,900,0000093,D011507,12132
838,Hydronephrosis,900,0000126,D006869,12132
843,Sinusitis,900,0000246,D012852,12132
848,Otitis media,900,0000388,D010033,12132
853,Epistaxis,900,0000421,D004844,12132
858,Hematuria,900,0000790,D006417,12132
863,Hypertension,900,0000822,D006973,12132
868,Diabetes insipidus,900,0000873,D003919,12132
873,Edema,900,0000969,D004487,12132
878,Purpura,900,0000979,D011693,12132
883,Meningitis,900,0001287,D008581,12132
888,Angina pectoris,900,0001681,D000787,12132
893,Pericarditis,900,0001701,D010493,12132
898,Pancreatitis,900,0001733,D010195,12132
903,Weight loss,900,0001824,D015431,12132
908,Fever,900,0001945,D005334,12132
913,Abdominal pain,900,0002027,D015746,12132
918,Respiratory insufficiency,900,0002093,D012131,12132
923,Hemoptysis,900,0002105,D006469,12132
928,Pulmonary fibrosis,900,0002206,D011658,12132
933,Gastrointestinal hemorrhage,900,0002239,D006471,12132
938,Hemiplegia,900,0002301,D006429,12132
943,Headache,900,0002315,D006261,12132
948,Chest pain,900,0100749,D002637,12132
953,Gangrene,900,0100758,D005734,12132
958,Vasculitis,900,0002633,D014657,12132
963,Arthralgia,900,0002829,D018771,12132
968,Autoimmunity,900,0002960,D015551,12132
973,Myalgia,900,0003326,D063806,12132
978,Skin ulcer,900,0200042,D012883,12132
983,Venous thrombosis,900,0004936,D020246,12132
988,Intestinal obstruction,900,0005214,D007415,12132
993,Ureteral obstruction,900,0006000,D014517,12132
998,Airway obstruction,900,0006536,D000402,12132
1003,Serositis,900,0045073,D012700,12132
1008,Fatigue,900,0012378,D005221,12132
1013,Pain,900,0012531,D010146,12132
1018,Cough,900,0012735,D003371,12132
1023,Prostatitis,56,0000024,D011472,9270
1024,Nephrolithiasis,56,0000787,D053040,9270
1025,Hypertension,56,0000822,D006973,9270
1026,Acute coronary syndrome,56,0033678,D054058,9270
1027,Edema,56,0000969,D004487,9270
1028,Arthritis,56,0001369,D001168,9270
1029,Myocardial infarction,56,0001658,D009203,9270
1030,Atherosclerosis,56,0002621,D050197,9270
1031,Arteriosclerosis,56,0002634,D001161,9270
1032,Osteoarthritis,56,0002758,D010003,9270
1033,Arthralgia,56,0002829,D018771,9270
1034,Vascular calcification,56,0004934,D061205,9270
1035,Pain,56,0012531,D010146,9270
1036,Azoospermia,361,0000027,D053713,0080620
1041,Cryptorchidism,361,0000028,D003456,0080620
1046,Hypothyroidism,361,0000821,D007037,0080620
1051,Adrenal insufficiency,361,0000846,D000309,0080620
1056,Congenital hypothyroidism,361,0000851,D003409,0080620
1061,Intellectual disability,361,0001249,D008607,0080620
1066,Coma,361,0001259,D003128,0080620
1071,Failure to thrive,361,0001508,D005183,0080620
1076,Weight loss,361,0001824,D015431,0080620
1081,Hypoglycemia,361,0001943,D007003,0080620
1086,Vomiting,361,0002013,D014839,0080620
1091,Diarrhea,361,0002014,D003967,0080620
1096,Constipation,361,0002019,D003248,0080620
1101,Abdominal pain,361,0002027,D015746,0080620
1106,Anorexia,361,0002039,D000855,0080620
1111,Hyperkalemia,361,0002153,D006947,0080620
1116,Hypotension,361,0002615,D007022,0080620
1121,Hyponatremia,361,0002902,D007010,0080620
1126,Fatigue,361,0012378,D005221,0080620
1131,Pain,361,0012531,D010146,0080620
1136,Azoospermia,48,0000027,D053713,0111862
1138,Infertility,48,0000789,D007246,0111862
1140,Oligospermia,48,0000798,D009845,0111862
1142,Azoospermia,84,0000027,D053713,13636
1164,Cryptorchidism,84,0000028,D003456,13636
1186,Hypospadias,84,0000047,D007021,13636
1208,Renal insufficiency,84,0000083,D051437,13636
1230,Hypogonadism,84,0000135,D007006,13636
1252,Cleft palate,84,0000175,D002972,13636
1274,Hydrocephalus,84,0000238,D006849,13636
1296,Microcephaly,84,0000252,D008831,13636
1318,Hypertelorism,84,0000316,D006972,13636
1340,Facial asymmetry,84,0000324,D005146,13636
1362,Choanal atresia,84,0000453,D002754,13636
1384,Astigmatism,84,0000483,D001251,13636
1406,Strabismus,84,0000486,D013285,13636
1428,Cataract,84,0000518,D002386,13636
1450,Syndactyly,84,0001159,D013576,13636
1472,Triphalangeal thumb,84,0001199,C573898,13636
1494,Intellectual disability,84,0001249,D008607,13636
1516,Oligohydramnios,84,0001562,D016104,13636
1538,Tetralogy of Fallot,84,0001636,D013771,13636
1560,Weight loss,84,0001824,D015431,13636
1582,Thrombocytopenia,84,0001873,D013921,13636
1604,Leukopenia,84,0001882,D007970,13636
1626,Anemia,84,0001903,D000740,13636
1648,Meckel diverticulum,84,0002245,D008467,13636
1670,Hernia,84,0100790,D006547,13636
1692,Tracheoesophageal fistula,84,0002575,D014138,13636
1714,Scoliosis,84,0002650,D012600,13636
1736,Hip dislocation,84,0002827,D006617,13636
1758,Spinal dysraphism,84,0010301,D016135,13636
1780,Azoospermia,125,0000027,D053713,2717
1781,Retrognathia,125,0000278,D063173,2717
1782,Otitis media,125,0000388,D010033,2717
1783,Uveitis,125,0000554,D014605,2717
1784,Infertility,125,0000789,D007246,2717
1785,Oligospermia,125,0000798,D009845,2717
1786,Diabetes mellitus,125,0000819,D003920,2717
1787,Insulin resistance,125,0000855,D007333,2717
1788,Obesity,125,0001513,D009765,2717
1789,Alopecia,125,0001596,D000505,2717
1790,Paronychia,125,0001818,D010304,2717
1791,Leukemia,125,0001909,D007938,2717
1792,Glucose intolerance,125,0001952,D018149,2717
1793,Gastroesophageal reflux,125,0002020,D005764,2717
1794,Pneumonia,125,0002090,D011014,2717
1795,Respiratory insufficiency,125,0002093,D012131,2717
1796,Cheilitis,125,0100825,D002613,2717
1797,Lymphoma,125,0002665,D008223,2717
1798,Airway obstruction,125,0006536,D000402,2717
1799,Abscess,125,0025615,D000038,2717
1800,Rhinitis,125,0012384,D012220,2717
1801,Bronchitis,125,0012387,D001991,2717
1802,Azoospermia,1772,0000027,D053713,0080656
1803,Cryptorchidism,1772,0000028,D003456,0080656
1804,Epispadias,1772,0000039,D004842,0080656
1805,Hypospadias,1772,0000047,D007021,0080656
1806,Gonadoblastoma,1772,0000150,D018238,0080656
1807,Otitis media,1772,0000388,D010033,0080656
1808,Glaucoma,1772,0000501,D005901,0080656
1809,Gynecomastia,1772,0000771,D006177,0080656
1810,Infertility,1772,0000789,D007246,0080656
1811,Hypothyroidism,1772,0000821,D007037,0080656
1812,Intellectual disability,1772,0001249,D008607,0080656
1813,Obesity,1772,0001513,D009765,0080656
1814,Tachycardia,1772,0001649,D013610,0080656
1815,Hallux valgus,1772,0001822,D006215,0080656
1816,Dyscalculia,1772,0002442,D060705,0080656
1817,Scoliosis,1772,0002650,D012600,0080656
1818,Hyperpituitarism,1772,0010514,D006964,0080656
1819,Azoospermia,90797,0000027,D053713,0080776
1820,Cryptorchidism,90797,0000028,D003456,0080776
1821,Hypospadias,90797,0000047,D007021,0080776
1822,Amenorrhea,90797,0000141,D000568,0080776
1823,Gynecomastia,90797,0000771,D006177,0080776
1824,Infertility,90797,0000789,D007246,0080776
1825,Hyperpituitarism,90797,0010514,D006964,0080776
1826,Cryptorchidism,235,0000028,D003456,14796
1828,Hypospadias,235,0000047,D007021,14796
1830,Hydronephrosis,235,0000126,D006869,14796
1832,Cleft palate,235,0000175,D002972,14796
1834,Hydrocephalus,235,0000238,D006849,14796
1836,Microcephaly,235,0000252,D008831,14796
1838,Hypertelorism,235,0000316,D006972,14796
1840,Strabismus,235,0000486,D013285,14796
1842,Telecanthus,235,0000506,C562941,14796
1844,Cataract,235,0000518,D002386,14796
1846,Myopia,235,0000545,D009216,14796
1848,Blepharophimosis,235,0000581,D016569,14796
1850,Hypoparathyroidism,235,0000829,D007011,14796
1852,Eczema,235,0000964,D004485,14796
1854,Brachydactyly,235,0001156,D059327,14796
1856,Syndactyly,235,0001159,D013576,14796
1858,Intellectual disability,235,0001249,D008607,14796
1860,Thrombocytopenia,235,0001873,D013921,14796
1862,Anemia,235,0001903,D000740,14796
1864,Leukemia,235,0001909,D007938,14796
1866,Diarrhea,235,0002014,D003967,14796
1868,Rectal prolapse,235,0002035,D012005,14796
1870,Respiratory insufficiency,235,0002093,D012131,14796
1872,Asthma,235,0002099,D001249,14796
1874,Scoliosis,235,0002650,D012600,14796
1876,Lymphoma,235,0002665,D008223,14796
1878,Spina bifida occulta,235,0003298,D016136,14796
1880,Spinal dysraphism,235,0010301,D016135,14796
1882,Cryptorchidism,478,0000028,D003456,3614
1904,Hypogonadism,478,0000135,D007006,3614
1926,Amenorrhea,478,0000141,D000568,3614
1948,Cleft palate,478,0000175,D002972,3614
1970,Anosmia,478,0000458,D000086582,3614
1992,Gynecomastia,478,0000771,D006177,3614
2014,Ataxia,478,0001251,D001259,3614
2036,Dysarthria,478,0001260,D004401,3614
2058,Muscle weakness,478,0001324,D018908,3614
2080,Tremor,478,0001337,D014202,3614
2102,Obesity,478,0001513,D009765,3614
2124,Erectile dysfunction,478,0100639,D007172,3614
2146,Hypopituitarism,478,0040075,D007018,3614
2168,Ichthyosis,478,0008064,D007057,3614
2190,Paraplegia,478,0010550,D010264,3614
2212,Dyspareunia,478,0030016,D004414,3614
2234,Cryptorchidism,2052,0000028,D003456,0090001
2237,Hypospadias,2052,0000047,D007021,0090001
2240,Microcephaly,2052,0000252,D008831,0090001
2243,Hypertelorism,2052,0000316,D006972,0090001
2246,Cleft lip,2052,0410030,D002971,0090001
2249,Blindness,2052,0000618,D001766,0090001
2252,Syndactyly,2052,0001159,D013576,0090001
2255,Intellectual disability,2052,0001249,D008607,0090001
2258,Encephalocele,2052,0002084,D004677,0090001
2261,Meningocele,2052,0002435,D008588,0090001
2264,Hernia,2052,0100790,D006547,0090001
2267,Tracheal stenosis,2052,0002777,D014135,0090001
2270,Spinal dysraphism,2052,0010301,D016135,0090001
2273,Cryptorchidism,2473,0000028,D003456,0111255
2274,Hypospadias,2473,0000047,D007021,0111255
2275,Hydronephrosis,2473,0000126,D006869,0111255
2276,Cleft palate,2473,0000175,D002972,0111255
2277,Urethral obstruction,2473,0000796,D014524,0111255
2278,Brachydactyly,2473,0001156,D059327,0111255
2279,Syndactyly,2473,0001159,D013576,0111255
2280,Intellectual disability,2473,0001249,D008607,0111255
2281,Failure to thrive,2473,0001508,D005183,0111255
2282,Tetralogy of Fallot,2473,0001636,D013771,0111255
2283,Polydactyly,2473,0010442,D017689,0111255
2284,Urethral stricture,2473,0012227,D014525,0111255
2285,Cryptorchidism,1465,0000028,D003456,1925
2296,Hypospadias,1465,0000047,D007021,1925
2307,Microcephaly,1465,0000252,D008831,1925
2318,Strabismus,1465,0000486,D013285,1925
2329,Myopia,1465,0000545,D009216,1925
2340,Hypertrichosis,1465,0000998,D006983,1925
2351,Hirsutism,1465,0001007,D006628,1925
2362,Intellectual disability,1465,0001249,D008607,1925
2373,Agenesis of corpus callosum,1465,0001274,D061085,1925
2384,Cerebellar hypoplasia,1465,0001321,C562568,1925
2395,Tetralogy of Fallot,1465,0001636,D013771,1925
2406,Pneumonia,1465,0002090,D011014,1925
2417,Hernia,1465,0100790,D006547,1925
2428,Scoliosis,1465,0002650,D012600,1925
2439,Hepatoblastoma,1465,0002884,D018197,1925
2450,Cryptorchidism,110,0000028,D003456,1935
2472,Nephrotic syndrome,110,0000100,D009404,1935
2494,Hypogonadism,110,0000135,D007006,1935
2516,Hypertension,110,0000822,D006973,1935
2538,Hirsutism,110,0001007,D006628,1935
2560,Syndactyly,110,0001159,D013576,1935
2582,Intellectual disability,110,0001249,D008607,1935
2604,Obesity,110,0001513,D009765,1935
2626,Polydactyly,110,0010442,D017689,1935
2648,Cryptorchidism,500,0000028,D003456,14291
2651,Hypospadias,500,0000047,D007021,14291
2654,Hypertelorism,500,0000316,D006972,14291
2657,Pectus carinatum,500,0000768,D066166,14291
2660,Acute coronary syndrome,500,0033678,D054058,14291
2663,Intellectual disability,500,0001249,D008607,14291
2666,Mitral valve prolapse,500,0001634,D008945,14291
2669,Myocardial infarction,500,0001658,D009203,14291
2672,Scoliosis,500,0002650,D012600,14291
2675,Melanoma,500,0002861,D008545,14291
2678,Neuroblastoma,500,0003006,D009447,14291
2681,Spina bifida occulta,500,0003298,D016136,14291
2684,Nevus,500,0003764,D009506,14291
2687,Spinal dysraphism,500,0010301,D016135,14291
2690,Bundle branch block,500,0011710,D002037,14291
2693,Heart block,500,0012722,D006327,14291
2696,Cryptorchidism,912,0000028,D003456,905
2709,Hypospadias,912,0000047,D007021,905
2722,Hydronephrosis,912,0000126,D006869,905
2735,Microcephaly,912,0000252,D008831,905
2748,Glaucoma,912,0000501,D005901,905
2761,Cataract,912,0000518,D002386,905
2774,Optic atrophy,912,0000648,D009896,905
2787,Adrenal insufficiency,912,0000846,D000309,905
2800,Jaundice,912,0000952,D007565,905
2813,Cholestasis,912,0001396,D002779,905
2826,Failure to thrive,912,0001508,D005183,905
2839,Premature birth,912,0001622,D047928,905
2852,Pyloric stenosis,912,0002021,D011707,905
2865,Respiratory insufficiency,912,0002093,D012131,905
2878,Polymicrogyria,912,0002126,D065706,905
2891,Hepatomegaly,912,0002240,D006529,905
2904,Corneal opacity,912,0007957,D003318,905
2917,Cryptorchidism,648,0000028,D003456,3490
2931,Hypogonadism,648,0000135,D007006,3490
